"protein_id","Checked","Master","Description","Coverage","Peptides","PSMs","AAs","Modifications","Abundance_Ratio_Winter_Summer","pval_Winter_Summer","adj_pval_Winter_Summer","Abundance_Grouped_Summer","Abundance_Grouped_Winter","Abundance_Grouped_CV_Summer","Abundance_Grouped_CV_Winter","Abundance_Ag-1_Summer","Abundance_Ag-2_Summer","Abundance_Ag-3_Summer","Abundance_Ag-1_Winter","Abundance_Ag-2_Winter","Abundance_Ag-3_Winter","Abundances_Normalized_Ag-1_Summer","Abundances_Normalized_Ag-2_Summer","Abundances_Normalized_Ag-3_Summer","Abundances_Normalized_Ag-1_Winter","Abundances_Normalized_Ag-2_Winter","Abundances_Normalized_Ag-3_Winter","Found_in_Sample_S3_Ag-1_Summer","Found_in_Sample_S6_Ag-2_Summer","Found_in_Sample_S9_Ag-3_Summer","Found_in_Sample_S2_Ag-1_Winter","Found_in_Sample_S5_Ag-2_Winter","Found_in_Sample_S8_Ag-3_Winter"
"Ag00001aa121662_T001",TRUE,"Master Protein","Ag00001aa121662_T001",65,38,707,765,NA,0.614,0.381869267552331,0.901386023034322,149.4,91.7,28.2,7.23,2934.6,4949.2,2634.9,930.1,1934.9,1545.2,4584.6,4949.2,2785.8,2743.2,3136.2,2814.3,"High","High","High","High","High","High"
"Ag00001aa096403_T001",TRUE,"Master Protein","Ag00001aa096403_T001",67,31,447,649,NA,1.155,0.145425846954375,0.487048992428398,88.1,101.8,9.12,4.83,11882.7,16990.2,14624.5,6840,12103.9,10074.5,18563.9,16990.2,15462.1,20173.7,19618.8,18348.9,"High","High","High","High","High","High"
"Ag00001aa096932_T001",TRUE,"Master Protein","Ag00001aa096932_T001",65,39,681,766,NA,0.575,0.365331476037995,0.884596000667917,145.2,83.6,29.57,8.81,26836.8,41024.9,22081.7,7533.2,16275.5,12959.8,41926.1,41024.9,23346.4,22218.2,26380.4,23603.9,"High","High","High","High","High","High"
"Ag00001aa122153_T002",TRUE,"Master Protein","Ag00001aa122153_T002",67,29,430,628,NA,0.795,0.99497885425139,1,81.5,64.8,13.54,23.4,39.4,71.8,76.5,28.4,35.2,31.3,61.6,71.8,80.9,83.8,57.1,57,"High","High","High","High","High","High"
"Ag00001aa081313_T003",TRUE,"Master Protein","Ag00001aa081313_T003",62,38,623,765,NA,0.593,0.221669442976886,0.646472921515234,192.5,114.2,28.8,7.65,967.6,1389.3,792.5,277.8,577.3,452.6,1511.6,1389.3,837.9,819.3,935.7,824.3,"High","High","High","High","High","High"
"Ag00001aa016177_T002",TRUE,"Master Protein","Ag00001aa016177_T002",71,31,436,648,NA,2.13,0.00762896303434046,0.0672049938477323,67.3,143.3,6.27,14.4,3653.5,5197.7,5551.2,4240.5,7500.5,5220.4,5707.7,5197.7,5869.1,12506.8,12157.3,9508,"High","High","High","High","High","High"
"Ag00001aa127002_T002",TRUE,"Master Protein","Ag00001aa127002_T002",69,24,431,445,NA,0.968,0.999982319048265,1,82.4,79.7,4.07,6.69,6485.9,10932.4,10234.5,3551.7,6090.2,6191.4,10132.7,10932.4,10820.7,10475.3,9871.4,11276.5,"High","High","High","High","High","High"
"Ag00001aa038464_T002",TRUE,"Master Protein","Ag00001aa038464_T002",67,30,431,648,NA,1.913,2.83279145149029e-05,0.00305750071933148,103.5,198,3.02,12.53,241.4,370.9,371.9,244.6,464.7,324.2,377.1,370.9,393.2,721.4,753.2,590.5,"High","High","High","High","High","High"
"Ag00001aa128941_T002",TRUE,"Master Protein","Ag00001aa128941_T002",69,24,398,445,NA,0.925,0.975928324911017,1,127.4,117.8,2.51,6.27,590.3,968.8,887.2,294.1,518.7,520.2,922.2,968.8,938,867.4,840.7,947.5,"High","High","High","High","High","High"
"Ag00001aa073318_T002",TRUE,"Master Protein","Ag00001aa073318_T002",78,28,539,446,"Met-loss [N-Term]",1.281,0.0900393724710252,0.358065604481034,77,98.6,5.01,9.02,12236.7,18906.6,16473.7,8212.7,14571.1,15276.8,19116.9,18906.6,17417.2,24222.3,23617.8,27823.9,"High","High","High","High","High","High"
"Ag00001aa047169_T001",TRUE,"Master Protein","Ag00001aa047169_T001",66,30,420,648,NA,2.667,0.00094760474797384,0.0207926349507337,80.5,214.8,13.91,21.67,48.9,70.2,86.7,70.4,125.7,75.3,76.4,70.2,91.7,207.6,203.7,137.1,"High","High","High","High","High","High"
"Ag00001aa068456_T001",TRUE,"Master Protein","Ag00001aa068456_T001",62,23,464,558,NA,0.867,0.120897473220808,0.429673284659944,101.3,87.8,12.77,7.09,11584.9,18295.6,21316.2,5558.8,9784.9,7841,18098.6,18295.6,22537,16395,15860,14281,"High","High","High","High","High","High"
"Ag00001aa028041_T002",TRUE,"Master Protein","Ag00001aa028041_T002",55,35,476,765,NA,0.558,0.332793896345612,0.835550991670721,94.3,52.7,21.45,6.37,3320.1,5401.9,3360.3,880.2,1798,1589.6,5186.9,5401.9,3552.8,2596,2914.3,2895.2,"High","High","High","High","High","High"
"Ag00001aa033498_T001",TRUE,"Master Protein","Ag00001aa033498_T001",63,23,444,554,NA,0.849,0.735014662225457,1,138,117.2,25.41,22.75,30,52.3,70.6,20,27.4,20.9,46.9,52.3,74.6,59,44.4,38.1,"High","High","High","High","High","High"
"Ag00001aa104405_T001",TRUE,"Master Protein","Ag00001aa104405_T001",65,30,401,649,NA,1.398,0.300536081774765,0.785893818116899,61.4,85.8,7.81,5.72,530.5,834.2,897.8,429.4,701.3,640.3,828.8,834.2,949.2,1266.5,1136.7,1166.2,"High","High","High","High","High","High"
"Ag00001aa022279_T001",TRUE,"Master Protein","Ag00001aa022279_T001",65,29,350,658,NA,3.712,0.00283650695866822,0.0398858821811321,67.5,250.7,5.04,13.91,14.7,25.4,22.8,37.6,55.2,47.5,23,25.4,24.1,110.9,89.5,86.5,"High","High","High","High","High","High"
"Ag00001aa019394_T001",TRUE,"Master Protein","Ag00001aa019394_T001",63,30,351,658,NA,3.284,0.00254007157517444,0.0375000955100153,53.9,177,3.37,14.03,1508.9,2323.3,2089.8,2587.1,4936.4,3341.7,2357.3,2323.3,2209.5,7630.3,8001.2,6086.3,"High","High","High","High","High","High"
"Ag00001aa107870_T003",TRUE,"Master Protein","Ag00001aa107870_T003",75,21,625,337,NA,0.945,0.9332969982534,1,97.4,92,1.14,3.07,19116.9,29196.9,27884.2,9443.5,16679.6,15784.4,29865.6,29196.9,29481.2,27852.4,27035.4,28748.4,"High","High","High","High","High","High"
"Ag00001aa102535_T001",TRUE,"Master Protein","Ag00001aa102535_T001",61,29,314,656,NA,2.029,0.237504916736939,0.678364177187468,85.7,174,14.67,11.96,609.5,734.6,913.3,655.2,1307.6,914.7,952.2,734.6,965.6,1932.4,2119.4,1666,"High","High","High","High","High","High"
"Ag00001aa117824_T003",TRUE,"Master Protein","Ag00001aa117824_T003",73,20,605,337,NA,1.044,0.955500279663405,1,153.1,159.8,5.24,7.25,1342.3,1903.8,1963.7,797.9,1257.5,1189.6,2097,1903.8,2076.2,2353.3,2038.2,2166.6,"High","High","High","High","High","High"
"Ag00001aa070570_T002",TRUE,"Master Protein","Ag00001aa070570_T002",50,30,420,765,NA,0.652,0.50774253038644,1,81.8,53.4,14.41,1.03,389.5,599.9,440,130.7,242.6,214.8,608.5,599.9,465.2,385.5,393.2,391.2,"High","High","High","High","High","High"
"Ag00001aa114201_T003",TRUE,"Master Protein","Ag00001aa114201_T003",76,21,544,337,NA,0.889,0.552844742311966,1,103.2,91.8,2.8,3.67,1026.5,1548,1435.6,493.5,838.7,755.7,1603.7,1548,1517.8,1455.5,1359.4,1376.4,"High","High","High","High","High","High"
"Ag00001aa009508_T001",TRUE,"Master Protein","Ag00001aa009508_T001",48,24,266,665,NA,1.786,0.879708616683444,1,20.7,37,8.58,24.99,6.9,10.8,11.8,8.9,11.9,8.9,10.8,10.8,12.5,26.2,19.3,16.2,"High","High","High","High","High","High"
"Ag00001aa034482_T001",TRUE,"Master Protein","Ag00001aa034482_T001",52,34,245,698,NA,0.944,0.782401001893566,1,88.2,83.3,3.11,1.4,1844.8,2711.9,2619.1,886.7,1606.1,1467.1,2882.1,2711.9,2769.1,2615.2,2603.3,2672.1,"High","High","High","High","High","High"
"Ag00001aa009517_T001",TRUE,"Master Protein","Ag00001aa009517_T001",59,26,290,649,NA,1.713,0.0959892512576075,0.372216567010805,124.3,213,2.3,28.4,376.6,595.3,581.6,345.8,466.7,739.4,588.3,595.3,614.9,1019.9,756.5,1346.7,"High","High","High","High","High","High"
"Ag00001aa072751_T001",TRUE,"Master Protein","Ag00001aa072751_T001",46,35,282,825,NA,0.24,1.48844607144039e-05,0.00218801572501737,159.9,38.3,34.15,25.16,20246.9,23493,14701,1210.6,3473.8,3222.4,31630.9,23493,15543,3570.5,5630.6,5869,"High","High","High","Not Found","High","High"
"Ag00001aa086826_T001",TRUE,"Master Protein","Ag00001aa086826_T001",46,34,280,802,NA,0.123,0.000224826704088965,0.00956851271167974,280.1,34.5,47.43,21.95,141.3,141.6,76.6,0,12.6,8.2,220.7,141.6,81,0,20.4,14.9,"High","High","High","Not Found","High","High"
"Ag00001aa148957_T001",TRUE,"Master Protein","Ag00001aa148957_T001",41,28,297,843,NA,0.915,0.580825746164824,1,90.9,83.1,3.79,4.21,6454,9360.4,9327.6,2879.7,5565,5061.4,10082.8,9360.4,9861.8,8493.3,9020.1,9218.4,"High","High","High","High","High","High"
"Ag00001aa073519_T001",TRUE,"Master Protein","Ag00001aa073519_T001",63,30,139,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa079692_T001",TRUE,"Master Protein","Ag00001aa079692_T001",62,30,139,584,NA,1.679,0.00546325588495689,0.054481163605303,57.7,96.9,4.39,7.47,2343.5,3834.6,3781.1,2183.1,4052.8,3132.1,3661.2,3834.6,3997.7,6438.8,6569,5704.6,"High","High","High","High","High","High"
"Ag00001aa026660_T001",TRUE,"Master Protein","Ag00001aa026660_T001",42,28,282,843,NA,0.871,0.814634206301186,1,184.9,161,5.19,9.87,157.8,222.7,218.4,59.1,130.7,110.4,246.5,222.7,230.9,174.3,211.8,201.1,"High","High","High","High","High","High"
