protein_id,Peptides,Coverage,Bitscore,Abundance_Ratio_Winter_Summer,pval,padj,Abundance_Grouped_Summer,Abundance_Grouped_Winter,Abundance_Mg-1_Summer,Abundance_Mg-2_Summer,Abundance_Mg-3_Summer,Abundance_Mg-1_Winter,Abundance_Mg-2_Winter,Abundance_Mg-3_Winter,Abundances_Normalized_Mg-1_Summer,Abundances_Normalized_Mg-2_Summer,Abundances_Normalized_Mg-3_Summer,Abundances_Normalized_Mg-1_Winter,Abundances_Normalized_Mg-2_Winter,Abundances_Normalized_Mg-3_Winter
Misin01G002300.1.v7.1,1,94.7,40.4,1.3895619757688724,0.222305976234384,0.54325561624538,107.3,149.1,129.4,122.9,110.3,197.1,196.8,155.2,233.1,260,223,332,311.3,323.9
Misin01G003900.1.v7.1,1,100,49.3,0.5644208037825059,0.152155692777828,0.416632176111695,169.2,95.5,412.6,271.7,331.5,302.9,238.9,163.5,743.4,574.8,670.1,510.3,377.9,341.2
Misin01G004800.1.v7.1,2,96.2,101.6,0.9684873949579832,0.999953026795561,1,95.2,92.2,99,74.2,94.3,100.7,109.1,84.6,178.4,157,190.6,169.6,172.6,176.6
Misin01G004900.1.v7.1,3,100,151.4,1.063642518618822,0.480824543663134,0.937346350106686,147.7,157.1,478.9,268.5,403.6,524.8,548.3,389.9,862.8,568.1,815.8,884.1,867.4,813.7
Misin01G005300.1.v7.1,8,100,389,0.8047928107838241,0.127417652505045,0.36858339382406,200.3,161.2,619.1,498.1,557.3,502.70000000000005,547.8,385,1115.5,1053.8,1126.6000000000001,846.9,866.5,803.5999999999999
Misin01G008300.1.v7.1,3,100,110.2,0.881780250347705,0.6217053564792,1,143.8,126.8,385.5,326.8,365.2,363.6,373.3,331.7,694.6,691.4,738.2,612.5,590.5,692.3
Misin01G008900.1.v7.1,4,100,180.6,1.0038684719535782,0.991474081008205,1,103.4,103.8,64.1,45.4,64.5,68.8,91.3,49.6,115.5,96.1,130.4,115.9,144.4,103.5
Misin01G014900.1.v7.1,1,100,36.2,1.2102102102102101,0.805325091426352,1,99.9,120.9,75.9,61.4,69.2,93.6,125.1,79.3,136.8,129.9,139.9,157.7,197.9,165.5
Misin01G015200.1.v7.1,4,100,155.6,1.0058266569555716,0.998998678513032,1,137.3,138.1,107.6,75.7,118.9,94.2,136.5,93.4,193.9,160.2,240.3,158.7,215.9,194.9
Misin01G015600.1.v7.1,17,100,721.0999999999999,0.6161087866108786,1.7874689952635e-4,0.00341121785196963,478,294.5,5873,5474.2,6700.1,4326.5999999999995,4420,3250.4,10581.6,11582,13543.399999999998,7289,6992.1,6783.7
Misin01G017800.1.v7.1,1,100,37.7,0.9911699779249449,0.998552439510924,1,90.6,89.8,458.9,456.9,366.3,500.7,503.3,392.7,826.8,966.7,740.4,843.5,796.2,819.6
Misin01G018100.1.v7.1,3,100,122.5,0.7888392857142856,0.426640212658381,0.862755136270818,224,176.7,442.4,482.4,555.5,307.4,515.8,385.8,797.1,1020.6,1122.9,517.9,815.9,805.2
Misin01G018500.1.v7.1,2,97.6,72,2.213793103448276,1.9182420921237e-4,0.00360593205897966,72.5,160.5,437.7,360.2,377.3,1002,958.5,893.3,788.6,762.1,762.7,1688,1516.3,1864.4
Misin01G023800.1.v7.1,1,100,46.6,0.9387205387205387,0.998679017535289,1,148.5,139.4,146.7,106.6,132.3,147.8,146.9,118.9,264.3,225.5,267.4,249,232.4,248.2
Misin01G024600.1.v7.1,1,100,52.8,0.7718707940780619,0.150018230270065,0.412437662827827,148.6,114.7,497.9,460.8,454.8,421.1,442.6,346.8,897.1,974.9,919.3,709.4,700.2,723.8
Misin01G025100.1.v7.1,3,98.8,124.4,1.425068119891008,0.0539484932475499,0.193312730764973,73.4,104.6,190.3,142.1,151.29999999999998,258.5,254.4,191.6,342.8,300.59999999999997,305.8,435.5,402.5,399.79999999999995
Misin01G025300.1.v7.1,5,95.7,218.5,0.8701986754966888,0.72843260011814,1,75.5,65.7,183.6,178.6,151.3,181,182.2,135.7,330.8,377.9,305.8,304.9,288.2,283.2
Misin01G026000.1.v7.1,4,100,150.9,0.6175040518638574,3.0025852437265e-4,0.00485876591102959,123.4,76.2,217.5,170.6,219.4,133.9,152.9,125.8,391.9,360.9,443.5,225.6,241.9,262.6
Misin01G026400.1.v7.1,3,100,129.8,0.7815726767275616,0.163656029221722,0.435126058285438,125.9,98.4,1814.1,1591.9,1717.3,1544.6,1726.9,1261.7,3268.5,3368,3471.3,2602.1,2731.8,2633.2
Misin01G027800.1.v7.1,3,93.3,103.2,0.6749367088607595,0.937518171526279,1,197.5,133.3,1303.1,1105.9,1179.6,875.8,1242.4,759.2,2347.8,2339.8,2384.4,1475.4,1965.4,1584.5
Misin01G028600.1.v7.1,22,100,964.0999999999999,0.8961175236096538,0.355604635281946,0.759515419944485,95.3,85.4,761.9,578.8,723.9,730,782.9,535.3,1372.7,1224.6,1463.3,1229.8,1238.5,1117.2
Misin01G032000.1.v7.1,27,100,1162.5000000000002,0.7414796342477141,0.225856312557738,0.549842821583724,360.9,267.6,1646.8,1208,1516.2,1438,1557.7,1184.3999999999999,2967,2555.9,3064.7999999999997,2422.5,2464.1,2471.9
Misin01G032900.1.v7.1,10,100,378.20000000000005,0.4716242661448141,0.0014395513648805,0.0144537263408979,204.4,96.4,6207.2,6334.5,6773.8,3525.9,3995.5,3204.2,11183.7,13402.1,13692.4,5940,6320.5,6687.3
Misin01G033100.1.v7.1,2,100,73.1,0.7711111111111111,0.288382787862852,0.651647210823756,135,104.1,173.7,133.4,173.8,152.5,152.6,104.8,313,282.2,351.3,256.9,241.4,218.7
Misin01G033200.1.v7.1,1,100,39.7,0.855421686746988,0.737656901080881,1,99.6,85.2,41.5,40.4,45.4,43.4,45.3,38.5,74.8,85.5,91.8,73.1,71.7,80.4
Misin01G034500.1.v7.1,14,100,507.6,0.7674418604651163,0.00168286309742482,0.0161347008856549,180.6,138.6,438.1,363,462.8,392.70000000000005,412.7,305.6,789.3000000000001,768,935.5,661.6,652.9,637.8
Misin01G035600.1.v7.1,1,100,37.4,1.0301291248206599,0.999176734292905,1,139.4,143.6,133.1,121.7,133,137.7,167.7,143.8,239.8,257.5,268.8,232,265.3,300.1
Misin01G036300.1.v7.1,1,100,41.6,0.9182036888532478,0.999657789682706,1,124.7,114.5,50.5,48.8,47.9,65.1,54.4,42.6,91,103.2,96.8,109.7,86.1,88.9
Misin01G038500.1.v7.1,8,100,286.4,1.085341762149348,0.973427821407412,1,253.10000000000002,274.7,177.7,129.39999999999998,167.4,229.20000000000002,202,146.6,320.20000000000005,273.8,338.4,386.1,319.6,305.9
Misin01G039500.1.v7.1,2,100,68.6,1.5436781609195405,0.00457790670968672,0.0333187738418603,174,268.6,74.1,58.3,55.400000000000006,129.5,126.7,82,133.5,123.39999999999999,112,218.20000000000002,200.5,171.10000000000002
Misin01G039600.1.v7.1,9,100,337.20000000000005,1.2069131060969756,0.119875590560195,0.351242111443491,208.3,251.4,523.0999999999999,460.6,446,591.5999999999999,598.9999999999999,475.6,942.5,974.5,901.6,996.6999999999999,947.5,992.6
Misin01G039900.1.v7.1,2,100,72.80000000000001,0.6380297823596793,0.167470884312523,0.440811968052108,174.6,111.4,774.6,811.6,799,560.6,651.3,581.6,1395.6,1717.1,1615.1,944.4,1030.3,1213.8
Misin01G041900.1.v7.1,2,100,72.8,0.7335243553008597,0.0132308167871097,0.0708929030654939,139.6,102.4,56.2,47,60.4,44.1,48.7,34.6,101.3,99.4,122.1,74.3,77,72.2
Misin01G042000.1.v7.1,3,100,149.1,1.1032899770466718,0.261340876676546,0.60925413896635,261.4,288.4,566,375.9,538.4,594.7,626.5,499.79999999999995,1019.8,795.3,1088.3,1001.8,991.1,1043.1
Misin01G045900.1.v7.1,4,100,161.4,0.8190993788819875,0.534117383473912,1,128.8,105.5,340.5,252.8,317,295.1,348.5,240.6,613.5,534.9,640.8,497.1,551.3,502.1
Misin01G047500.1.v7.1,1,100,44.3,0.9253472222222221,0.999977676339757,1,115.2,106.6,99.1,67.5,80.6,115.5,95.3,62.1,178.6,142.8,162.9,194.6,150.8,129.6
Misin01G050000.1.v7.1,2,100,72.1,0.8024439918533605,0.400945026056045,0.823305103469322,147.3,118.2,166.8,133.9,159.4,127.4,159,115.5,300.5,283.3,322.2,214.6,251.5,241.1
Misin01G050100.1.v7.1,6,94.4,208.4,1.9806378132118452,0.0516331615423189,0.187126348567934,87.8,173.9,104.5,58.6,71.3,186.7,180.4,114.6,188.3,124,144.1,314.5,285.4,239.2
Misin01G050700.1.v7.1,1,95.7,51.2,2.9122807017543857,5.369257591189e-4,0.00735949533890633,34.2,99.6,44.3,27.6,27,101.2,107.4,79,79.8,58.4,54.6,170.5,169.9,164.9
Misin01G052300.1.v7.1,2,100,86.2,0.8484848484848485,0.802297190763146,1,102.3,86.8,360,368.6,324.5,330.4,318,291.1,648.6,779.9,655.9,556.6,503,607.5
Misin01G056700.1.v7.1,1,100,53.5,1.1429942418426102,0.572176983515161,1,104.2,119.1,529.4,355.7,517.8,633.6,689.4,530.2,953.8,752.6,1046.7,1067.4,1090.6,1106.6
Misin01G059400.1.v7.1,1,100,34.7,0.8344198174706648,0.579484046373483,1,76.7,64,50.8,47.5,42.4,37.5,49.5,36.6,91.5,100.5,85.7,63.2,78.3,76.4
Misin01G059500.1.v7.1,1,100,40,1.037602820211516,0.9950033850025,1,85.1,88.3,177.5,148.6,159.7,208.6,200.4,158.9,319.8,314.4,322.8,351.4,317,331.6
Misin01G063000.1.v7.1,14,100,642.7,0.4726639076453932,0.0994752019329393,0.304679740270584,459.09999999999997,217,4875.2,5004.9000000000005,5618.5,2401.9,2992.6000000000004,1989.5,8783.800000000001,10589,11357.1,4046.3999999999996,4734,4152.2
Misin01G063200.1.v7.1,24,100,1024.9,2.293383270911361,0.242476833581684,0.578430524945259,80.1,183.7,1089.7,692.8000000000001,645.4,2006.8,2177,1293.1000000000001,1963.3,1465.6999999999998,1304.6,3380.8,3443.8,2698.8
Misin01G064000.1.v7.1,2,97.85,99,0.9104062326099056,0.937823972695532,1,179.7,163.60000000000002,312.8,253.6,279.8,343.5,332.3,261.4,563.6,536.6,565.6,578.6999999999999,525.7,545.5
Misin01G066600.1.v7.1,8,100,305.4,0.5506406345332521,0.0275873849469167,0.120594636049295,327.79999999999995,180.5,453,295.4,433.4,334.8,333,300.5,816.2,625,876,564.1,526.7,627.2
Misin01G067700.1.v7.1,1,100,48.5,0.7548638132295721,0.169371116829212,0.445206213138631,154.2,116.4,724.1,728.4,729.4,660.4,669.1,540.1,1304.6,1541.1,1474.4,1112.6,1058.5,1127.2
Misin01G073600.1.v7.1,2,100,80.8,0.7272727272727273,0.0242486034578208,0.111667255027167,127.6,92.8,207.6,236,190.3,171.4,164.7,134,374,499.3,384.7,288.8,260.5,279.7
Misin01G076300.1.v7.1,1,100,38.5,1.0563492063492064,0.999509399043581,1,126,133.1,146.4,144.4,143,182.9,182.4,146.3,263.8,305.5,289.1,308.1,288.5,305.3
Misin01G077400.1.v7.1,3,100,138.3,1.294041450777202,0.139157991175191,0.39049624064353,77.2,99.9,945.8,932.8,743.3,1399.4,1394.9,1041,1704.1,1973.6,1502.5,2357.5,2206.6,2172.6
Misin01G078200.1.v7.1,13,100,636.6,1.7995418098510885,0.00708549271255821,0.0456688911432502,87.3,157.10000000000002,2579.5,2145.9,2233.8,5090.6,5048,3672.1000000000004,4647.5,4540.1,4515.3,8575.9,7985.5,7663.9
Misin01G078700.1.v7.1,9,100,374.2999999999999,0.945531914893617,0.986105987401004,1,117.5,111.1,1325.8,1007.6,1057.1,1125,1302.4,968.3,2388.7,2131.8,2136.8,1895.3,2060.3,2020.9
Misin01G079600.1.v7.1,1,100,37,0.6518353726362625,0.134475152152235,0.380435315232136,179.8,117.2,89.7,102.7,107.2,83.8,98.7,58.8,161.6,217.3,216.7,141.2,156.1,122.7
Misin01G081300.1.v7.1,1,100,52.4,0.8892171344165436,0.926616504510706,1,135.4,120.4,390.9,301.7,281,392.9,271,272.1,704.3,638.3,568,661.9,428.7,567.9
