protein_id,sample,season,normalized_abundance,log_abundance
PvWBCH1.3KG314100.1.v1.1,Pv-DD-1,Summer,12412.7,9.426475421093707
PvWBCH1.3KG314100.1.v1.1,Pv-DD-2,Summer,13616,9.519000850886599
PvWBCH1.3KG314100.1.v1.1,Pv-DD-3,Summer,14103.6,9.554185362997712
PvWBCH1.3KG314100.1.v1.1,Pv-DD-1,Winter,18780.3,9.840563727128806
PvWBCH1.3KG314100.1.v1.1,Pv-DD-2,Winter,22263.8,10.010717320098545
PvWBCH1.3KG314100.1.v1.1,Pv-DD-3,Winter,20840.9,9.944672681163212
PvWBCH1.3NG294700.1.v1.1,Pv-DD-1,Summer,648,6.473890697895484
PvWBCH1.3NG294700.1.v1.1,Pv-DD-2,Summer,788.5,6.670132407671324
PvWBCH1.3NG294700.1.v1.1,Pv-DD-3,Summer,816.3,6.70478193568235
PvWBCH1.3NG294700.1.v1.1,Pv-DD-1,Winter,943.5,6.849596365868488
PvWBCH1.3NG294700.1.v1.1,Pv-DD-2,Winter,1286.2,7.159447414478247
PvWBCH1.3NG294700.1.v1.1,Pv-DD-3,Winter,1284.9,7.158436174067706
PvWBCH1.5KG363600.1.v1.1,Pv-DD-1,Summer,1929.7,7.565119829920525
PvWBCH1.5KG363600.1.v1.1,Pv-DD-2,Summer,1556,7.34987370538101
PvWBCH1.5KG363600.1.v1.1,Pv-DD-3,Summer,1581.6,7.366192272488679
PvWBCH1.5KG363600.1.v1.1,Pv-DD-1,Winter,6131.3,8.721162078387454
PvWBCH1.5KG363600.1.v1.1,Pv-DD-2,Winter,6255,8.741136423060883
PvWBCH1.5KG363600.1.v1.1,Pv-DD-3,Winter,6173.2,8.727972621188666
PvWBCH1.3KG417800.2.v1.1,Pv-DD-1,Summer,1721.2,7.450777001545434
PvWBCH1.3KG417800.2.v1.1,Pv-DD-2,Summer,1657.3,7.41294505173289
PvWBCH1.3KG417800.2.v1.1,Pv-DD-3,Summer,1666,7.418180823327028
PvWBCH1.3KG417800.2.v1.1,Pv-DD-1,Winter,1526.7,7.330863822917904
PvWBCH1.3KG417800.2.v1.1,Pv-DD-2,Winter,1202.3,7.091991668812603
PvWBCH1.3KG417800.2.v1.1,Pv-DD-3,Winter,1123.7,7.0243820918037745
PvWBCH1.3NG353800.1.v1.1,Pv-DD-1,Summer,19787.4,9.89280065053152
PvWBCH1.3NG353800.1.v1.1,Pv-DD-2,Summer,17141.1,9.749234367513726
PvWBCH1.3NG353800.1.v1.1,Pv-DD-3,Summer,16891.2,9.734548055294633
PvWBCH1.3NG353800.1.v1.1,Pv-DD-1,Winter,12516.5,9.434803052936186
PvWBCH1.3NG353800.1.v1.1,Pv-DD-2,Winter,12346.5,9.421127901161803
PvWBCH1.3NG353800.1.v1.1,Pv-DD-3,Winter,10614.3,9.269957427638865
PvWBCH1.3NG393300.8.v1.1,Pv-DD-1,Summer,38987.6,10.570998925863075
PvWBCH1.3NG393300.8.v1.1,Pv-DD-2,Summer,43708.7,10.68530244596003
PvWBCH1.3NG393300.8.v1.1,Pv-DD-3,Summer,44549.7,10.704360698891994
PvWBCH1.3NG393300.8.v1.1,Pv-DD-1,Winter,31433.7,10.355635844816476
PvWBCH1.3NG393300.8.v1.1,Pv-DD-2,Winter,26448.1,10.182939601095702
PvWBCH1.3NG393300.8.v1.1,Pv-DD-3,Winter,35227.3,10.469576629198803
PvWBCH1.5NG350300.1.v1.1,Pv-DD-1,Summer,288.4,5.6643484088782
PvWBCH1.5NG350300.1.v1.1,Pv-DD-2,Summer,240.1,5.4810555073921385
PvWBCH1.5NG350300.1.v1.1,Pv-DD-3,Summer,250.6,5.523858046452391
PvWBCH1.5NG350300.1.v1.1,Pv-DD-1,Winter,1350.1,7.207933943503886
PvWBCH1.5NG350300.1.v1.1,Pv-DD-2,Winter,1106.5,7.008957160394855
PvWBCH1.5NG350300.1.v1.1,Pv-DD-3,Winter,870.4,6.768952877250575
PvWBCH1.4NG013300.1.v1.1,Pv-DD-1,Summer,17799.3,9.78691440972038
PvWBCH1.4NG013300.1.v1.1,Pv-DD-2,Summer,17021.6,9.742238404818258
PvWBCH1.4NG013300.1.v1.1,Pv-DD-3,Summer,17513.2,9.77071016135249
PvWBCH1.4NG013300.1.v1.1,Pv-DD-1,Winter,28650.1,10.262912212573093
PvWBCH1.4NG013300.1.v1.1,Pv-DD-2,Winter,31616.7,10.361440741022381
PvWBCH1.4NG013300.1.v1.1,Pv-DD-3,Winter,30128.6,10.313230165761032
PvWBCH1.9NG404600.1.v1.1,Pv-DD-1,Summer,17523.8,9.771315236006302
PvWBCH1.9NG404600.1.v1.1,Pv-DD-2,Summer,15968.9,9.678398359750998
PvWBCH1.9NG404600.1.v1.1,Pv-DD-3,Summer,16572.4,9.715493940065059
PvWBCH1.9NG404600.1.v1.1,Pv-DD-1,Winter,26653.9,10.190690760388057
PvWBCH1.9NG404600.1.v1.1,Pv-DD-2,Winter,26241.4,10.175093595331415
PvWBCH1.9NG404600.1.v1.1,Pv-DD-3,Winter,24496.8,10.10629777579822
PvWBCH1.9KG135900.2.v1.1,Pv-DD-1,Summer,7188.3,8.880209983398677
PvWBCH1.9KG135900.2.v1.1,Pv-DD-2,Summer,8445.9,9.041436395617973
PvWBCH1.9KG135900.2.v1.1,Pv-DD-3,Summer,7950.6,8.981002676624422
PvWBCH1.9KG135900.2.v1.1,Pv-DD-1,Winter,8508,9.048762176437664
PvWBCH1.9KG135900.2.v1.1,Pv-DD-2,Winter,6598.2,8.794552163696501
PvWBCH1.9KG135900.2.v1.1,Pv-DD-3,Winter,8315,9.025816391747293
PvWBCH1.3NG220600.1.v1.1,Pv-DD-1,Summer,543.4,6.297845698832512
PvWBCH1.3NG220600.1.v1.1,Pv-DD-2,Summer,497,6.208590028108701
PvWBCH1.3NG220600.1.v1.1,Pv-DD-3,Summer,456.8,6.124245660530942
PvWBCH1.3NG220600.1.v1.1,Pv-DD-1,Winter,990.2,6.89790694393722
PvWBCH1.3NG220600.1.v1.1,Pv-DD-2,Winter,944.7,6.8508674178336255
PvWBCH1.3NG220600.1.v1.1,Pv-DD-3,Winter,917.6,6.821761566904961
PvWBCH1.3KG231500.1.v1.1,Pv-DD-1,Summer,90.2,4.502029438155052
PvWBCH1.3KG231500.1.v1.1,Pv-DD-2,Summer,89.9,4.498697952601045
PvWBCH1.3KG231500.1.v1.1,Pv-DD-3,Summer,101.2,4.617098766734788
PvWBCH1.3KG231500.1.v1.1,Pv-DD-1,Winter,261.7,5.567198813357269
PvWBCH1.3KG231500.1.v1.1,Pv-DD-2,Winter,249.3,5.518656994540744
PvWBCH1.3KG231500.1.v1.1,Pv-DD-3,Winter,219.5,5.391352237071034
PvWBCH1.4KG275100.1.v1.1,Pv-DD-1,Summer,5618.6,8.633837801712303
PvWBCH1.4KG275100.1.v1.1,Pv-DD-2,Summer,4675.6,8.450112775947492
PvWBCH1.4KG275100.1.v1.1,Pv-DD-3,Summer,5562.2,8.623748992615598
PvWBCH1.4KG275100.1.v1.1,Pv-DD-1,Winter,15892.2,9.673583701866626
PvWBCH1.4KG275100.1.v1.1,Pv-DD-2,Winter,21567.7,9.978952104166112
PvWBCH1.4KG275100.1.v1.1,Pv-DD-3,Winter,20215.2,9.914190075718732
PvWBCH1.4KG024900.1.v1.1,Pv-DD-1,Summer,228.8,5.432848263876272
PvWBCH1.4KG024900.1.v1.1,Pv-DD-2,Summer,223.3,5.408516163324393
PvWBCH1.4KG024900.1.v1.1,Pv-DD-3,Summer,245.2,5.5020742081403595
PvWBCH1.4KG024900.1.v1.1,Pv-DD-1,Winter,384.5,5.951943791546479
PvWBCH1.4KG024900.1.v1.1,Pv-DD-2,Winter,433.1,6.070968650529516
PvWBCH1.4KG024900.1.v1.1,Pv-DD-3,Winter,468.1,6.14868195044232
PvWBCH1.9KG414100.1.v1.1,Pv-DD-1,Summer,72.4,4.282206313203825
PvWBCH1.9KG414100.1.v1.1,Pv-DD-2,Summer,42.9,3.7588718492439943
PvWBCH1.9KG414100.1.v1.1,Pv-DD-3,Summer,42.7,3.7541989436537824
PvWBCH1.9KG414100.1.v1.1,Pv-DD-1,Winter,81.2,4.3969152594829035
PvWBCH1.9KG414100.1.v1.1,Pv-DD-2,Winter,237.5,5.470167627685222
PvWBCH1.9KG414100.1.v1.1,Pv-DD-3,Winter,145.7,4.981549720064577
PvWBCH1.9KG074200.1.v1.1,Pv-DD-1,Summer,6968.2,8.849112220904578
PvWBCH1.9KG074200.1.v1.1,Pv-DD-2,Summer,6409.6,8.765552145627515
PvWBCH1.9KG074200.1.v1.1,Pv-DD-3,Summer,7561.9,8.930877760480872
PvWBCH1.9KG074200.1.v1.1,Pv-DD-1,Winter,12129.4,9.40338753665865
PvWBCH1.9KG074200.1.v1.1,Pv-DD-2,Winter,20514,9.928862858916103
PvWBCH1.9KG074200.1.v1.1,Pv-DD-3,Winter,21214.2,9.962426047804513
PvWBCH1.5KG262500.1.v1.1,Pv-DD-1,Summer,23113.7,10.048180794347584
PvWBCH1.5KG262500.1.v1.1,Pv-DD-2,Summer,22579.9,10.02481540904017
PvWBCH1.5KG262500.1.v1.1,Pv-DD-3,Summer,23087.7,10.047055287209552
PvWBCH1.5KG262500.1.v1.1,Pv-DD-1,Winter,23394.4,10.060251956508521
PvWBCH1.5KG262500.1.v1.1,Pv-DD-2,Winter,20734.4,9.93954943572938
PvWBCH1.5KG262500.1.v1.1,Pv-DD-3,Winter,20247.8,9.915801424706798
PvWBCH1.5NG250300.1.v1.1,Pv-DD-1,Summer,1772.9,7.480371903468383
PvWBCH1.5NG250300.1.v1.1,Pv-DD-2,Summer,1765.3,7.476075927161713
PvWBCH1.5NG250300.1.v1.1,Pv-DD-3,Summer,1835.9,7.515290104010852
PvWBCH1.5NG250300.1.v1.1,Pv-DD-1,Winter,1800,7.495541944439812
PvWBCH1.5NG250300.1.v1.1,Pv-DD-2,Winter,1704.4,7.440968422212474
PvWBCH1.5NG250300.1.v1.1,Pv-DD-3,Winter,1908.2,7.5539156688418
PvWBCH1.3KG170200.1.v1.1,Pv-DD-1,Summer,1162.8,7.058586169544714
PvWBCH1.3KG170200.1.v1.1,Pv-DD-2,Summer,1009,6.9167150213446895
PvWBCH1.3KG170200.1.v1.1,Pv-DD-3,Summer,1182.8,7.075639788823774
