tmt_batch,protein_id,sample,season,normalized_abundance,log_abundance
1,Td00001aa011766_T001,C002-1,Summer,14703.7,9.595854441843809
1,Td00001aa011766_T001,C002-2,Summer,16097.3,9.686406835107793
1,Td00001aa011766_T001,C002-3,Summer,14651.9,9.59232529893684
1,Td00001aa011766_T001,C004-1,Summer,17051,9.7439641320768
1,Td00001aa011766_T001,C004-2,Summer,17416.4,9.765167570094366
1,Td00001aa011766_T001,C004-3,Summer,17377.7,9.762943054101333
1,Td00001aa011766_T001,C002-1,Winter,18278,9.813453429886858
1,Td00001aa011766_T001,C002-2,Winter,15798.2,9.667651288537886
1,Td00001aa011766_T001,C002-3,Winter,18350.5,9.817412101122395
1,Td00001aa011766_T001,C004-1,Winter,16765.6,9.72708444716538
1,Td00001aa011766_T001,C004-2,Winter,17270.3,9.756743542211618
1,Td00001aa011766_T001,C004-3,Winter,27763.5,10.2314774874009
1,Td00001aa006196_T003,C002-1,Summer,11501.4,9.350224046159116
1,Td00001aa006196_T003,C002-2,Summer,11168,9.320807825091695
1,Td00001aa006196_T003,C002-3,Summer,10730,9.28079883571794
1,Td00001aa006196_T003,C004-1,Summer,10341.3,9.243900865594844
1,Td00001aa006196_T003,C004-2,Summer,10372.8,9.246942274517137
1,Td00001aa006196_T003,C004-3,Summer,11068.8,9.311885618833193
1,Td00001aa006196_T003,C002-1,Winter,11126.3,9.317066954230013
1,Td00001aa006196_T003,C002-2,Winter,11422.8,9.343366637132805
1,Td00001aa006196_T003,C002-3,Winter,11032.9,9.30863699709193
1,Td00001aa006196_T003,C004-1,Winter,12159.6,9.405874260324511
1,Td00001aa006196_T003,C004-2,Winter,10828.4,9.28992759140762
1,Td00001aa006196_T003,C004-3,Winter,11044.5,9.309687845567424
1,Td00001aa007992_T002,C002-1,Summer,11807.2,9.37646479395226
1,Td00001aa007992_T002,C002-2,Summer,5954.8,8.691952896170834
1,Td00001aa007992_T002,C002-3,Summer,10948,9.300912070251911
1,Td00001aa007992_T002,C004-1,Summer,7416.2,8.91142207573317
1,Td00001aa007992_T002,C004-2,Summer,9584.2,9.167871188355356
1,Td00001aa007992_T002,C004-3,Summer,10137.2,9.223967104989486
1,Td00001aa007992_T002,C002-1,Winter,18959.2,9.850044580878736
1,Td00001aa007992_T002,C002-2,Winter,20778,9.941650013678604
1,Td00001aa007992_T002,C002-3,Winter,7522.8,8.925693688200852
1,Td00001aa007992_T002,C004-1,Winter,17068,9.74496064436648
1,Td00001aa007992_T002,C004-2,Winter,10026.6,9.212996840537127
1,Td00001aa007992_T002,C004-3,Winter,22412,10.017351808729794
1,Td00001aa011576_T001,C002-1,Summer,85.1,4.44382704733021
1,Td00001aa011576_T001,C002-2,Summer,100.7,4.612145809655003
1,Td00001aa011576_T001,C002-3,Summer,67,4.204692634316339
1,Td00001aa011576_T001,C004-1,Summer,147.9,4.99653637647808
1,Td00001aa011576_T001,C004-2,Summer,170.2,5.1369742220147145
1,Td00001aa011576_T001,C004-3,Summer,138.3,4.9294252459013705
1,Td00001aa011576_T001,C002-1,Winter,83.9,4.429625625392112
1,Td00001aa011576_T001,C002-2,Winter,78.4,4.3618239401114645
1,Td00001aa011576_T001,C002-3,Winter,74.2,4.306764163650423
1,Td00001aa011576_T001,C004-1,Winter,140.9,4.948050426001867
1,Td00001aa011576_T001,C004-2,Winter,161.5,5.084505148854662
1,Td00001aa011576_T001,C004-3,Winter,141.8,4.954417621150213
1,Td00001aa023036_T001,C002-1,Summer,2226.2,7.7080513755083215
1,Td00001aa023036_T001,C002-2,Summer,1750.7,7.467770987510087
1,Td00001aa023036_T001,C002-3,Summer,1918,7.55903825596476
1,Td00001aa023036_T001,C004-1,Summer,1678,7.4253578876230995
1,Td00001aa023036_T001,C004-2,Summer,1611.4,7.384858645963674
1,Td00001aa023036_T001,C004-3,Summer,2137.4,7.667345416558654
1,Td00001aa023036_T001,C002-1,Winter,2127.3,7.66260884944814
1,Td00001aa023036_T001,C002-2,Winter,1988,7.594884387719538
1,Td00001aa023036_T001,C002-3,Winter,2120.8,7.659548655446336
