protein_id,sample,season,normalized_abundance,log_abundance
Td00001aa000021_T002,C002,Summer,339.7,5.8280628781103125
Td00001aa000021_T002,C004,Summer,237.2,5.468903671339422
Td00001aa000021_T002,C022,Summer,337.4,5.821269173075709
Td00001aa000021_T002,C031,Summer,264,5.575949106934195
Td00001aa000021_T002,C071-1,Summer,586.2,6.373661029982695
Td00001aa000021_T002,C071-2,Summer,554.1,6.317345177678033
Td00001aa000021_T002,C071-3,Summer,588.3,6.377237023570223
Td00001aa000021_T002,C076,Summer,409,6.0137151584877895
Td00001aa000021_T002,C002,Winter,362.2,5.892196548210219
Td00001aa000021_T002,C004,Winter,203.3,5.31468272555314
Td00001aa000021_T002,C022,Winter,207.5,5.33513134449003
Td00001aa000021_T002,C031,Winter,220.9,5.397710114953007
Td00001aa000021_T002,C071-1,Winter,326.2,5.787510693252518
Td00001aa000021_T002,C071-2,Winter,310.2,5.737217253966165
Td00001aa000021_T002,C071-3,Winter,453.9,6.117876911665548
Td00001aa000021_T002,C076,Winter,183.8,5.213848215362283
Td00001aa000031_T001,C002,Summer,32.8,3.490428545877902
Td00001aa000031_T001,C004,Summer,0,-13.815510557964274
Td00001aa000031_T001,C022,Summer,25.6,3.2425923905480163
Td00001aa000031_T001,C031,Summer,19.7,2.980618686505363
Td00001aa000031_T001,C071-1,Summer,69.3,4.238444920625872
Td00001aa000031_T001,C071-2,Summer,92.8,4.530446650568017
Td00001aa000031_T001,C071-3,Summer,67.7,4.215086194689278
Td00001aa000031_T001,C076,Summer,41.4,3.7232809049858577
Td00001aa000031_T001,C002,Winter,19.9,2.9907197819817015
Td00001aa000031_T001,C004,Winter,0,-13.815510557964274
Td00001aa000031_T001,C022,Winter,12.3,2.5095993436791817
Td00001aa000031_T001,C031,Winter,12.7,2.5416020722046997
Td00001aa000031_T001,C071-1,Winter,15.2,2.721295493641702
Td00001aa000031_T001,C071-2,Winter,20.9,3.039749206817654
Td00001aa000031_T001,C071-3,Winter,16.6,2.8094027556034598
Td00001aa000031_T001,C076,Winter,18.8,2.9338569230273914
Td00001aa000033_T003,C002,Summer,2284.1,7.733727353092397
Td00001aa000033_T003,C004,Summer,1790.8,7.49041772692522
Td00001aa000033_T003,C022,Summer,2403.4,7.784639680893276
Td00001aa000033_T003,C031,Summer,1510.8,7.320394591500203
