protein_id,sample,season,normalized_abundance,log_abundance
Ag00001aa121662_T001,Ag-1,Summer,4584.6,8.430458140099697
Ag00001aa121662_T001,Ag-2,Summer,4949.2,8.506981226541873
Ag00001aa121662_T001,Ag-3,Summer,2785.8,7.932290364612895
Ag00001aa121662_T001,Ag-1,Winter,2743.2,7.916880401513248
Ag00001aa121662_T001,Ag-2,Winter,3136.2,8.050767155265788
Ag00001aa121662_T001,Ag-3,Winter,2814.3,7.9424688421553435
Ag00001aa096403_T001,Ag-1,Summer,18563.9,9.828974113630332
Ag00001aa096403_T001,Ag-2,Summer,16990.2,9.740391986285921
Ag00001aa096403_T001,Ag-3,Summer,15462.1,9.646147147392814
Ag00001aa096403_T001,Ag-1,Winter,20173.7,9.912135054928223
Ag00001aa096403_T001,Ag-2,Winter,19618.8,9.884243569220338
Ag00001aa096403_T001,Ag-3,Winter,18348.9,9.817324906236324
Ag00001aa096932_T001,Ag-1,Summer,41926.1,10.643663823699631
Ag00001aa096932_T001,Ag-2,Summer,41024.9,10.62193447844161
Ag00001aa096932_T001,Ag-3,Summer,23346.4,10.058198075664734
Ag00001aa096932_T001,Ag-1,Winter,22218.2,10.008667051856486
Ag00001aa096932_T001,Ag-2,Winter,26380.4,10.18037658919653
Ag00001aa096932_T001,Ag-3,Winter,23603.9,10.069167231640378
Ag00001aa122153_T002,Ag-1,Summer,61.6,4.12066188677324
Ag00001aa122153_T002,Ag-2,Summer,71.8,4.2738844899817545
Ag00001aa122153_T002,Ag-3,Summer,80.9,4.393213836425385
Ag00001aa122153_T002,Ag-1,Winter,83.8,4.428433019421211
Ag00001aa122153_T002,Ag-2,Winter,57.1,4.0448041341750995
Ag00001aa122153_T002,Ag-3,Winter,57,4.04305128537841
Ag00001aa081313_T003,Ag-1,Summer,1511.6,7.320923972136884
Ag00001aa081313_T003,Ag-2,Summer,1389.3,7.236555302874603
Ag00001aa081313_T003,Ag-3,Summer,837.9,6.730898762812701
Ag00001aa081313_T003,Ag-1,Winter,819.3,6.708450318368323
Ag00001aa081313_T003,Ag-2,Winter,935.7,6.841294913350586
Ag00001aa081313_T003,Ag-3,Winter,824.3,6.714534542532332
Ag00001aa016177_T002,Ag-1,Summer,5707.7,8.649571419577123
Ag00001aa016177_T002,Ag-2,Summer,5197.7,8.555971499222704
Ag00001aa016177_T002,Ag-3,Summer,5869.1,8.67745657926136
Ag00001aa016177_T002,Ag-1,Winter,12506.8,9.43402777545599
Ag00001aa016177_T002,Ag-2,Winter,12157.3,9.405685091474316
Ag00001aa016177_T002,Ag-3,Winter,9508,9.15988882858526
