"Checked","Protein_FDR_Confidence_Combined","Master","Accession","Description","Exp_q_value_Combined","Sum_PEP_Score","Coverage","Peptides","PSMs","Unique_Peptides","AAs","MW_kDa","calc_pI","Score_Sequest_HT_Sequest_HT","Peptides_by_Search_Engine_Sequest_HT","Biological_Process","Cellular_Component","Molecular_Function","Pfam_IDs","Entrez_Gene_ID","Gene_ID","Gene_Symbol","Ensembl_Gene_ID","Protein_Pathway_Groups","Razor_Peptides","Abundance_Ratio_Winter_Summer","Abundance_Ratio_P_Value_Winter_Summer","Abundances_Grouped_Summer","Abundances_Grouped_Winter","Abundances_Grouped_CV_Summer","Abundances_Grouped_CV_Winter","Abundance_C002_summer","Abundance_C004_summer","Abundance_C022_summer","Abundance_C031_summer","Abundance_C071-1_summer","Abundance_C071-2_summer","Abundance_C071-3_summer","Abundance_C076_summer","Abundance_C002_winter","Abundance_C004_winter","Abundance_C022_winter","Abundance_C031_winter","Abundance_C071-1_winter","Abundance_C071-2_winter","Abundance_C071-3_winter","Abundance_C076_winter","Abundances_Normalized_C002_summer","Abundances_Normalized_C004_summer","Abundances_Normalized_C022_summer","Abundances_Normalized_C031_summer","Abundances_Normalized_C071-1_summer","Abundances_Normalized_C071-2_summer","Abundances_Normalized_C071-3_summer","Abundances_Normalized_C076_summer","Abundances_Normalized_C002_winter","Abundances_Normalized_C004_winter","Abundances_Normalized_C022_winter","Abundances_Normalized_C031_winter","Abundances_Normalized_C071-1_winter","Abundances_Normalized_C071-2_winter","Abundances_Normalized_C071-3_winter","Abundances_Normalized_C076_winter","Found_in_Sample_S369_C002_summer","Found_in_Sample_S370_C004_summer","Found_in_Sample_S371_C022_summer","Found_in_Sample_S372_C031_summer","Found_in_Sample_S373_C071-1_summer","Found_in_Sample_S374_C071-2_summer","Found_in_Sample_S375_C071-3_summer","Found_in_Sample_S376_C076_summer","Found_in_Sample_S377_C002_winter","Found_in_Sample_S378_C004_winter","Found_in_Sample_S379_C022_winter","Found_in_Sample_S380_C031_winter","Found_in_Sample_S381_C071-1_winter","Found_in_Sample_S382_C071-2_winter","Found_in_Sample_S383_C071-3_winter","Found_in_Sample_S384_C076_winter","Protein_Groups","Modifications"
TRUE,"High","Master Protein","TdactyloidesS_mRNA5596","TdactyloidesS_mRNA5596",0,106.338,81,13,177,13,164,16.9,6.96,608.28,13,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA5596",NA,NA,0,0,32.036,1e-17,6.1,193.9,64.11,78.06,93.1,73.8,84,129.3,132.8,203.7,235.3,366.7,979.6,12042.1,3046.9,3763.4,7400.9,2588.4,5987.2,1311.6,331.9,162.7,276.2,264.8,227.1,203.7,248,795.7,2349.7,26238.8,9134.4,7377.9,18431.4,5809.4,9835.1,3674.1,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA16635","TdactyloidesS_mRNA16635",0,69.091,59,11,45,9,211,23.1,5.92,177.28,11,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA16635",NA,NA,0,2,20.256,1e-17,9.4,190.6,100.51,47.75,121.1,10.6,32.4,15.2,38.9,61.6,478,159.4,724.2,1166,896.4,949.3,310.9,745.8,279.2,461.5,431.7,23.4,106.5,31.1,66.5,61.6,503.7,345.9,1737.1,2540.6,2687.3,1861,774.3,1673.9,458.6,1292.8,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA38168","TdactyloidesS_mRNA38168",0,96.119,46,7,26,7,137,15.5,6.6,151.32,7,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA38168",NA,NA,0,0,14.067,1e-17,13.3,186.7,55.41,40.28,23.3,9.4,18.8,24.3,9.6,25.3,70.5,41.5,198.8,418.8,247,431.8,330.1,287.9,398.1,570.9,83.1,20.7,61.8,49.8,16.4,25.3,74.3,90.1,476.8,912.5,740.5,846.5,822.1,646.2,654,1599.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA6215","TdactyloidesS_mRNA6215",0,39.715,46,12,18,12,319,35.8,7.33,54.22,12,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA6215",NA,NA,0,0,12.628,2.22044604925031e-16,14.7,185.3,37.31,76.16,13.7,4.2,15.2,0,22.4,33.3,39.1,22.7,416.7,46.9,237.5,916.1,229.5,210.2,288.4,121.2,48.8,9.3,50,0,38.3,33.3,41.2,49.3,999.5,102.2,712,1796,571.6,471.8,473.8,339.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA31126","TdactyloidesS_mRNA31126",0,37.508,26,11,18,11,505,51.7,7.08,50.2,11,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA31126",NA,NA,0,0,9.839,9.99200722162641e-14,18.5,181.5,38.9,34.84,3.9,5.7,11,15.7,10.8,30.1,29.3,18.5,53.9,158.5,82.5,184.4,153.4,75.9,237.6,93,13.9,12.6,36.2,32.2,18.5,30.1,30.9,40.1,129.3,345.4,247.3,361.5,382,170.4,390.3,260.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA47219","TdactyloidesS_mRNA47219",0,68.001,59,8,69,5,152,17.2,6.07,194.04,8,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA47219",NA,NA,0,1,10.09,1.04360964314765e-13,18,182,165.68,60.93,45.8,10.2,15.5,4.8,32.9,72.4,458.7,610.6,236.4,820.7,174.7,980,275.4,269.4,291.4,514.3,163.3,22.5,51,9.8,56.3,72.4,483.4,1325,567,1788.2,523.7,1921.2,685.9,604.6,478.7,1440.7,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA7686","TdactyloidesS_mRNA7686",0,25.583,22,5,12,4,357,37.7,5.16,49.21,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA7686",NA,NA,0,1,9.335,6.91002810526697e-13,19.4,180.6,39.43,63.49,45,41.6,85.1,51.3,83.8,155.3,205.9,121.8,867.4,149.3,291.6,1845.5,699.3,555.3,572.2,667.3,160.4,91.7,279.8,105.1,143.3,155.3,217,264.3,2080.5,325.3,874.2,3618,1741.6,1246.3,939.9,1869.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA3648","TdactyloidesS_mRNA3648",0,12.945,55,4,15,4,75,7.8,5.1,51.53,4,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA3648",NA,NA,0,0,9.604,1.3882228699913e-12,18.9,181.1,63.47,132.09,26.1,22,19.8,15.8,15.6,34.3,41.3,63.9,102.1,1491.1,228.7,307.2,195.1,178.5,163.9,77.6,93,48.5,65.1,32.4,26.7,34.3,43.5,138.7,244.9,3249,685.6,602.2,485.9,400.6,269.2,217.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA13167","TdactyloidesS_mRNA13167",0,145.715,50,32,73,16,887,100.4,7.11,244.51,32,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA13167",NA,NA,0,9,0.114,2.28372876165395e-12,179.6,20.4,56.3,28.92,332.7,901.3,394.8,1535.5,2558.4,2389.8,1323.7,432.6,104.8,82.9,54.2,152.8,52.3,88.6,127.3,50.4,1185.9,1986.5,1298.2,3144.7,4374.7,2389.8,1395,938.7,251.4,180.6,162.5,299.6,130.2,198.9,209.1,141.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA53839","TdactyloidesS_mRNA53839",0,12.504,14,3,4,3,276,29.9,9.29,12.39,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA53839",NA,NA,0,0,12.927,3.09419156963031e-12,14.4,185.6,34.93,41.77,0,0,3.6,0,3.6,8.3,5.9,6,28.2,89.9,45.9,50,58.9,41.4,71.5,17,0,0,11.8,0,6.2,8.3,6.2,13,67.6,195.9,137.6,98,146.7,92.9,117.5,47.6,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA56120","TdactyloidesS_mRNA56120",0,148.779,65,16,138,16,239,26.3,8.13,501.62,16,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA56120",NA,NA,0,0,8.622,4.34918767666659e-12,20.8,179.2,84.83,42.26,665,89.1,327.2,114.2,286.3,444.7,2367.7,681.2,2283,1726.7,2207.9,3017.5,3117.4,4983,4405,853.3,2370.4,196.4,1075.9,233.9,489.6,444.7,2495.2,1478.1,5476,3762.3,6619.1,5915.6,7763.7,11183.9,7236.1,2390.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA29523","TdactyloidesS_mRNA29523",0,63.23,38,13,42,9,293,32,6.49,132.91,13,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA29523",NA,NA,0,0,8.376,8.37152569488353e-12,21.3,178.7,26.31,44.99,44.1,63.5,56.2,74.9,66.8,111.3,148.8,110.9,196,939.6,645.8,652.9,912.8,377.2,802.6,373.4,157.2,140,184.8,153.4,114.2,111.3,156.8,240.6,470.1,2047.3,1936.1,1280,2273.3,846.6,1318.4,1046,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA11998","TdactyloidesS_mRNA11998",0,85.074,41,9,24,8,388,42.6,5.12,112.95,9,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA11998",NA,NA,0,1,7.727,4.95345986450957e-11,22.9,177.1,70.3,31.08,163.3,76.8,141.3,59,100.7,107.9,133.2,115.2,513.3,829.9,471.5,763,579,318.1,561.8,288.6,582.1,169.3,464.6,120.8,172.2,107.9,140.4,250,1231.2,1808.3,1413.5,1495.8,1442,713.9,922.9,808.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA8517","TdactyloidesS_mRNA8517",0,67.145,58,11,51,4,224,25,5.77,178.83,11,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA8517",NA,NA,0,6,7.706,5.26092502894926e-11,23,177,108.11,60.64,65.4,43.9,244.4,121.4,366.7,570.1,701.8,1210.8,920.8,322.7,927.3,2341.9,1856.4,2758.4,3549.1,3447.3,233.1,96.8,803.7,248.6,627,570.1,739.6,2627.3,2208.6,703.1,2780,4591.1,4623.2,6191,5830.1,9656.7,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA13302","TdactyloidesS_mRNA13302",0,15.732,32,3,11,3,164,17,6.89,33.78,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA13302",NA,NA,0,0,10.791,6.87760959294792e-11,17,183,30.1,70.63,6,6,5.8,5.6,6.6,13.8,11.9,10.7,23.6,211.7,57.6,77.9,55.6,62,46.4,88.1,21.4,13.2,19.1,11.5,11.3,13.8,12.5,23.2,56.6,461.3,172.7,152.7,138.5,139.2,76.2,246.8,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA33929","TdactyloidesS_mRNA33929",0,21.577,20,6,7,6,231,24.1,10.42,24.23,6,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA33929",NA,NA,0,0,0.093,1.31247901435927e-10,183.1,16.9,64.7,89.96,113.8,102.8,61.9,77,32.2,44.9,162,62.8,5.5,30.7,0,0,6.1,12,5.6,0,405.6,226.6,203.5,157.7,55.1,44.9,170.7,136.3,13.2,66.9,0,0,15.2,26.9,9.2,0,"High","High","High","High","High","High","High","High","High","High","High","Not Found","High","High","High","Not Found",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA21983","TdactyloidesS_mRNA21983",0,28.245,48,5,10,5,174,17.8,7.46,41.99,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA21983",NA,NA,0,0,7.413,2.72049494043358e-10,23.8,176.2,88.54,70.05,71.5,16.8,22.7,23.4,25.2,48.9,56.7,38.6,235.6,500.9,209.3,371.6,100.8,126.6,95.7,44.1,254.9,37,74.6,47.9,43.1,48.9,59.8,83.8,565.1,1091.4,627.5,728.5,251,284.1,157.2,123.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA10230","TdactyloidesS_mRNA10230",0,34.118,17,6,15,6,471,49.8,6.99,52.35,6,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA10230",NA,NA,0,0,7.56,3.71728647863279e-10,23.4,176.6,49.25,45.19,17.1,31.1,14.3,69.3,31,89.2,30.7,26.2,193.3,259.1,85.3,120.8,349.8,153.1,410.2,152.5,61,68.5,47,141.9,53,89.2,32.4,56.9,463.6,564.6,255.7,236.8,871.2,343.6,673.8,427.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA24481","TdactyloidesS_mRNA24481",0,18.305,22,5,5,5,333,35.2,8.63,18.09,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA24481",NA,NA,0,0,0.141,4.74005057427007e-10,175.4,24.6,34.27,41.82,155.2,348.1,247.9,214.8,203.3,582.8,390.4,420.9,71,47.6,26.9,48.2,21.4,33.8,33,28.2,553.2,767.2,815.2,439.9,347.6,582.8,411.4,913.3,170.3,103.7,80.6,94.5,53.3,75.9,54.2,79,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA9357","TdactyloidesS_mRNA9357",0,138.321,47,31,69,15,887,100.3,6.52,232.28,31,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA9357",NA,NA,0,0,0.124,7.02065738877877e-10,178,22,43.31,52.22,112.7,98.7,100.9,255.4,496.9,629.5,426.5,145.8,53.7,23.4,8.1,22.6,18.8,28,34.2,19.4,401.7,217.5,331.8,523.1,849.7,629.5,449.5,316.4,128.8,51,24.3,44.3,46.8,62.8,56.2,54.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA60948","TdactyloidesS_mRNA60948",0,140.196,49,20,91,16,292,32.1,6.2,319.93,20,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA60948",NA,NA,0,4,6.607,1.29747723676132e-09,26.3,173.7,44.61,37.69,167.5,447.6,224.6,816,273.9,868.4,779.3,268.6,771.9,2865.5,1602.1,2116.6,2880.5,2598.8,3355.8,968.1,597,986.5,738.5,1671.2,468.4,868.4,821.3,582.8,1851.5,6243.7,4803,4149.5,7173.7,5832.8,5512.6,2711.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA7553","TdactyloidesS_mRNA7553",0,57.55,44,5,19,5,212,21.9,6.9,88.32,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA7553",NA,NA,0,0,6.702,1.87407755980473e-09,26,174,148.82,129.27,11.9,10.9,19.7,257,63.9,52,34.7,23.9,21.1,363.1,356.9,78.1,1410.7,40.4,1932.1,10.2,42.4,24,64.8,526.3,109.3,52,36.6,51.9,50.6,791.2,1070,153.1,3513.3,90.7,3173.8,28.6,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA36953","TdactyloidesS_mRNA36953",0,40.207,50,4,21,3,118,11.5,8.9,76.22,4,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA36953",NA,NA,0,0,6.101,2.39178277183782e-09,28.2,171.8,107.88,110.23,17.3,283.2,15.4,252.2,195.4,26.4,33.1,56.5,103.1,1315.8,438.7,184.1,562.5,14.8,474.7,6,61.7,624.2,50.6,516.5,334.1,26.4,34.9,122.6,247.3,2867,1315.2,360.9,1400.9,33.2,779.8,16.8,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA1810","TdactyloidesS_mRNA1810",0,13.213,16,4,11,4,257,28.3,6.19,34.16,4,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA1810",NA,NA,0,0,6.223,4.23627111167946e-09,27.7,172.3,40.1,108.56,55.1,61.9,89.8,75.2,71.3,111.2,140.5,133.1,113.1,2670,685.1,219.3,1084.3,103,2829.3,45.2,196.4,136.4,295.3,154,121.9,111.2,148.1,288.8,271.3,5817.7,2053.9,429.9,2700.4,231.2,4647.7,126.6,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA29935","TdactyloidesS_mRNA29935",0,65.31,48,9,42,7,193,22.1,6.1,164.88,9,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA29935",NA,NA,0,2,6.184,4.78089923205971e-09,27.8,172.2,43.07,29.48,129.9,105.4,61.8,80.2,225,289.1,313.4,272.1,768.8,666.3,1065.2,829.2,1142.8,754.9,1526.4,706.9,463,232.3,203.2,164.2,384.7,289.1,330.3,590.4,1844,1451.8,3193.4,1625.6,2846.1,1694.3,2507.4,1980.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA57076","TdactyloidesS_mRNA57076",0,25.163,24,6,7,6,355,39,6.95,25.94,6,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA57076",NA,NA,0,0,6.168,5.02688712877841e-09,27.9,172.1,44.55,37.6,74.1,46,54.9,51,91.3,138.3,324.5,115.5,436.5,218,197.3,623.3,321.9,456.3,856.4,561.4,264.1,101.4,180.5,104.4,156.1,138.3,342,250.6,1047,475,591.5,1221.9,801.7,1024.1,1406.8,1572.6,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA41114","TdactyloidesS_mRNA41114",0,56.537,47,4,28,3,121,11.8,8.9,95.67,4,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA41114",NA,NA,0,0,5.958,9.76669767283056e-09,28.7,171.3,104.55,98.77,45,373,42.8,560.1,242,103.6,79.7,75.3,107.8,1325.5,429.8,397.4,1317.9,72.5,727,32.1,160.4,822.1,140.7,1147.1,413.8,103.6,84,163.4,258.6,2888.2,1288.5,779.1,3282.1,162.7,1194.2,89.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
