rank,species,protein_id,orthogroup,log2FC,DAP,description,go_id,go_term,PPV
1,Ag,Ag00001aa069057_T001,OG0013692,2.7204973704823456,Up,Phospholipid-binding protein,NA,NA,NA
2,Ag,Ag00001aa124402_T001,OG0010710,2.7057567820497974,Up,chitinase,0006032,chitin catabolic process,0.787445074392
2,Ag,Ag00001aa124402_T001,OG0010710,2.7057567820497974,Up,chitinase,0016998,cell wall macromolecule catabolic process,0.754521041472
2,Ag,Ag00001aa124402_T001,OG0010710,2.7057567820497974,Up,chitinase,0000272,polysaccharide catabolic process,0.705267852507
3,Ag,Ag00001aa071693_T001,OG0012032,2.685043089476681,Up,Actin-depolymerizing factor 2,0030042,actin filament depolymerization,0.822467774621
4,Ag,Ag00001aa122642_T001,OG0011610,2.6470842126289535,Up,Subtilisin-chymotrypsin inhibitor-2A,0009611,response to wounding,0.772302189918
5,Ag,Ag00001aa157044_T001,OG0016166,2.636682617168484,Up,SMP domain-containing protein,NA,NA,NA
6,Ag,Ag00001aa069574_T002,OG0022470,2.595503660502742,Up,Late embryogenesis abundant protein 3,NA,NA,NA
7,Ag,Ag00001aa111933_T001,OG0022470,2.541019153133559,Up,Late embryogenesis abundant protein 3,0009631,cold acclimation,0.645392507067
8,Ag,Ag00001aa114791_T001,OG0002925,2.453649266043291,Up,NA,NA,NA,NA
9,Ag,Ag00001aa020048_T001,OG0008483,2.4515408330178317,Up,NA,NA,NA,NA
10,Ag,Ag00001aa014453_T001,OG0000288,2.3881895371560837,Up,Class I heat shock protein 1,0009408,response to heat,0.677355153874
10,Ag,Ag00001aa014453_T001,OG0000288,2.3881895371560837,Up,Class I heat shock protein 1,0009651,response to salt stress,0.654968734242
10,Ag,Ag00001aa014453_T001,OG0000288,2.3881895371560837,Up,Class I heat shock protein 1,0042542,response to hydrogen peroxide,0.645448799538
10,Ag,Ag00001aa014453_T001,OG0000288,2.3881895371560837,Up,Class I heat shock protein 1,0051259,protein complex oligomerization,0.619408241713
10,Ag,Ag00001aa014453_T001,OG0000288,2.3881895371560837,Up,Class I heat shock protein 1,0006457,protein folding,0.577105383792
11,Ag,Ag00001aa078823_T001,OG0000288,2.3801753117420255,Up,Class I heat shock protein 1,0009651,response to salt stress,0.62805215656
11,Ag,Ag00001aa078823_T001,OG0000288,2.3801753117420255,Up,Class I heat shock protein 1,0042542,response to hydrogen peroxide,0.619263786044
11,Ag,Ag00001aa078823_T001,OG0000288,2.3801753117420255,Up,Class I heat shock protein 1,0009408,response to heat,0.609928329097
11,Ag,Ag00001aa078823_T001,OG0000288,2.3801753117420255,Up,Class I heat shock protein 1,0051259,protein complex oligomerization,0.595224328029
11,Ag,Ag00001aa078823_T001,OG0000288,2.3801753117420255,Up,Class I heat shock protein 1,0006457,protein folding,0.556172254577
12,Ag,Ag00001aa064944_T001,OG0022470,2.339137384919585,Up,Late embryogenesis abundant protein 3,0009631,cold acclimation,0.449147515482
13,Ag,Ag00001aa120298_T001,OG0008270,2.283329168051641,Up,GH18 domain-containing protein,0005975,carbohydrate metabolic process,0.600664554562
13,Ag,Ag00001aa120298_T001,OG0008270,2.283329168051641,Up,GH18 domain-containing protein,0009987,cellular process,0.397726603506
14,Ag,Ag00001aa097918_T001,OG0000288,2.2764966656403565,Up,Class I heat shock protein 1,0009651,response to salt stress,0.693218406652
14,Ag,Ag00001aa097918_T001,OG0000288,2.2764966656403565,Up,Class I heat shock protein 1,0009408,response to heat,0.686837658778
14,Ag,Ag00001aa097918_T001,OG0000288,2.2764966656403565,Up,Class I heat shock protein 1,0042542,response to hydrogen peroxide,0.682658886201
14,Ag,Ag00001aa097918_T001,OG0000288,2.2764966656403565,Up,Class I heat shock protein 1,0051259,protein complex oligomerization,0.653774675178
14,Ag,Ag00001aa097918_T001,OG0000288,2.2764966656403565,Up,Class I heat shock protein 1,0006457,protein folding,0.606852305724
15,Ag,Ag00001aa097924_T001,OG0000288,2.25368678273227,Up,Class I heat shock protein 1,0006979,response to oxidative stress,0.609981024236
15,Ag,Ag00001aa097924_T001,OG0000288,2.25368678273227,Up,Class I heat shock protein 1,0009651,response to salt stress,0.601639224087
15,Ag,Ag00001aa097924_T001,OG0000288,2.25368678273227,Up,Class I heat shock protein 1,0009408,response to heat,0.594623293271
