protein_id,Checked,Master,Description,Coverage,Peptides,PSMs,AAs,Modifications,Abundance_Ratio_Pani_Winter_Summer,Abundance_Ratio_Sorg_Winter_Summer,pval_Pani_Winter_Summer,pval_Sorg_Winter_Summer,adj_pval_Pani_Winter_Summer,adj_pval_Sorg_Winter_Summer,Abundance_Grouped_Pani_Summer,Abundance_Grouped_Pani_Winter,Abundance_Grouped_Sorg_Summer,Abundance_Grouped_Sorg_Winter,Abundance_Grouped_CV_Pani_Summer,Abundance_Grouped_CV_Pani_Winter,Abundance_Grouped_CV_Sorg_Summer,Abundance_Grouped_CV_Sorg_Winter,Protein_FDR_Confidence_Combined,Exp_q_value_Combined,Sum_PEP_Score,Unique_Peptides,MW_kDa,calc_pI,Score_Sequest_HT_Sequest_HT,Peptides_by_Search_Engine_Sequest_HT,Razor_Peptides,Abundance_PV-RB-1_Summer,Abundance_PV-RB-2_Summer,Abundance_PV-RB-3_Summer,Abundance_PV-RB-1_Winter,Abundance_PV-RB-2_Winter,Abundance_PV-RB-3_Winter,Abundance_Sn-1_Summer,Abundance_Sn-2_Summer,Abundance_Sn-1_Winter,Abundance_Sn-2_Winter,Abundances_Normalized_PV-RB-1_Summer,Abundances_Normalized_PV-RB-2_Summer,Abundances_Normalized_PV-RB-3_Summer,Abundances_Normalized_PV-RB-1_Winter,Abundances_Normalized_PV-RB-2_Winter,Abundances_Normalized_PV-RB-3_Winter,Abundances_Normalized_Sn-1_Summer,Abundances_Normalized_Sn-2_Summer,Abundances_Normalized_Sn-1_Winter,Abundances_Normalized_Sn-2_Winter,Found_in_Sample_S49_PV-RB-1_Summer,Found_in_Sample_S52_PV-RB-2_Summer,Found_in_Sample_S55_PV-RB-3_Summer,Found_in_Sample_S48_PV-RB-1_Winter,Found_in_Sample_S51_PV-RB-2_Winter,Found_in_Sample_S54_PV-RB-3_Winter,Found_in_Sample_S58_Sn-1_Summer,Found_in_Sample_S61_Sn-2_Summer,Found_in_Sample_S57_Sn-1_Winter,Found_in_Sample_S60_Sn-2_Winter,Protein_Groups
Sn00001aa009228_T004,TRUE,Master Protein,Sn00001aa009228_T004,24,4,16,168,NA,1.317,NA,0.550226849105295,NA,1,NA,214,281.9,0,0,9.33,4.58,NA,NA,High,0,21.182,1,18.5,6.18,44.63,4,0,27.9,19.3,39.7,26.2,44.9,6.9,0,0,0,0,59.7,56.2,67.3,78.7,77.1,84.1,0,0,0,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa058070_T001,TRUE,Master Protein,Sn00001aa058070_T001,14,3,5,210,NA,3.468,2.647,2.50887451030968e-4,NA,0.0305229155630562,NA,81.8,283.7,15.4,40.8,19.3,6.87,NA,NA,High,0,10.227,1,22.9,6.54,15.31,3,0,18.2,11.5,15.5,43.4,67.6,9.5,5.7,0,5.8,0,39,33.5,26.3,130.3,116.1,115.8,6.3,0,16.7,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa017875_T001,TRUE,Master Protein,Sn00001aa017875_T001,15,2,3,145,NA,0.678,0.01,0.376623236981839,NA,1,NA,263.1,178.5,21.2,0,29.93,36.83,NA,NA,High,0,8.118,2,16.3,10.29,8.94,2,0,70.1,28.5,63.3,29.6,42.4,3.3,7.8,0,0,0,150.1,83,107.4,88.9,72.8,40.2,8.6,0,0,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa087423_T001,TRUE,Master Protein,Sn00001aa087423_T001,20,17,26,1109,NA,1.059,0.819,0.999999999580451,NA,1,NA,183.9,194.7,39.2,32.1,5.96,39.65,NA,NA,High,0,73.183,1,130.1,5.97,91.96,17,0,21.6,16.6,25.3,22.6,28.5,2.4,8.9,0,2.8,0,46.2,48.3,42.9,67.9,49,29.3,9.8,0,8.1,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa006143_T001,TRUE,Master Protein,Sn00001aa006143_T001,6,2,6,336,NA,0.524,3.332,0.0418002215430593,NA,0.41175660636865,NA,261.9,137.2,16.9,56.2,33.93,25.24,NA,NA,High,0,9.046,2,34.9,8.62,16.53,2,0,71.5,49.8,151.9,26.7,60.2,5.1,8.9,0,11.4,0,153.1,145,257.7,80.2,103.4,62.2,9.8,0,32.8,0,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa008248_T002,TRUE,Master Protein,Sn00001aa008248_T002,19,5,8,255,NA,0.837,1.677,0.680877129331735,NA,1,NA,204.8,171.4,30.2,50.7,8.66,6.92,NA,NA,High,0,15.835,1,26.6,8.22,25.51,5,0,31.5,26.8,39.7,18.8,32.9,4.1,9,0,5.8,0,67.4,78,67.3,56.5,56.5,50,10,0,16.7,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa054846_T001,TRUE,Master Protein,Sn00001aa054846_T001,4,2,2,598,NA,0.913,2.705,0.998490052041013,NA,1,NA,228.6,208.8,11.3,30.7,41.68,19.25,NA,NA,High,0,7.958,1,65.1,8.19,5.97,2,0,105.2,111.6,79.4,68.5,131.9,12.6,10.1,0,10.5,0,225.2,324.9,134.7,205.7,226.6,153.6,11.2,0,30.2,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa010260_T001,TRUE,Master Protein,Sn00001aa010260_T001,20,3,3,191,NA,0.791,7.591,0.999989438528044,NA,1,NA,62.9,49.7,40.7,308.6,35.64,70.33,NA,74.72,High,0,10.62,3,19.2,5.48,9.44,3,0,10.5,3.6,11.2,2.9,15.1,0,11.1,0,58.3,4.7,22.5,10.5,19,8.7,25.9,0,12.3,0,167.9,51.8,High,High,High,High,High,Not Found,High,Not Found,High,High,1
Sn00001aa080952_T001,TRUE,Master Protein,Sn00001aa080952_T001,6,2,14,375,NA,0.527,2.28,0.957548364159529,NA,1,NA,310.5,163.8,21.9,50,54.56,23.87,NA,8.54,High,0,21.585,1,41.1,6.96,51.96,2,0,84.9,18,111.9,34.9,55.8,5.3,11.6,0,10.8,2.5,181.8,52.4,189.8,104.8,95.8,64.6,12.8,0,31.1,27.6,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa064153_T001,TRUE,Master Protein,Sn00001aa064153_T001,28,5,13,214,NA,1.173,6.747,0.999809074466461,NA,1,NA,39.1,45.9,40.2,271.2,55.07,68.52,NA,27.69,High,0,27.555,1,24.2,5.67,46.9,5,0,3.9,0,11.2,2.9,14.6,0,11.7,0,37,6.5,8.3,0,19,8.7,25.1,0,12.9,0,106.5,71.6,High,High,High,High,High,High,High,High,High,High,1
