"protein_id","Checked","Master","Description","Coverage","Peptides","PSMs","AAs","Modifications","Abundance_Ratio_Winter_Summer","pval_Winter_Summer","adj_pval_Winter_Summer","Abundance_Grouped_Summer","Abundance_Grouped_Winter","Abundance_Grouped_CV_Summer","Abundance_Grouped_CV_Winter","Abundance_Mg-1_Summer","Abundance_Mg-2_Summer","Abundance_Mg-3_Summer","Abundance_Mg-1_Winter","Abundance_Mg-2_Winter","Abundance_Mg-3_Winter","Abundances_Normalized_Mg-1_Summer","Abundances_Normalized_Mg-2_Summer","Abundances_Normalized_Mg-3_Summer","Abundances_Normalized_Mg-1_Winter","Abundances_Normalized_Mg-2_Winter","Abundances_Normalized_Mg-3_Winter","Found_in_Sample_S12_Mg-1_Summer","Found_in_Sample_S15_Mg-2_Summer","Found_in_Sample_S18_Mg-3_Summer","Found_in_Sample_S11_Mg-1_Winter","Found_in_Sample_S14_Mg-2_Winter","Found_in_Sample_S17_Mg-3_Winter"
"Ag00001aa121662_T001",TRUE,"Master Protein","Ag00001aa121662_T001",65,38,707,765,NA,0.729,0.706530452750288,1,103,75.1,5.58,10.95,1754.2,1498.6,1419.6,1358.5,1457.4,1323.3,3160.6,3170.6,2869.5,2288.6,2305.5,2761.8,"High","High","High","High","High","High"
"Ag00001aa096403_T001",TRUE,"Master Protein","Ag00001aa096403_T001",67,31,447,649,NA,0.94,0.934767970836895,1,110.7,104.1,5.63,3.37,11839.7,9427,11043.5,11908.9,13282.6,9432.1,21331.9,19945,22323.1,20062.5,21011.8,19685.2,"High","High","High","High","High","High"
"Ag00001aa096932_T001",TRUE,"Master Protein","Ag00001aa096932_T001",65,39,681,766,NA,0.703,0.447900400303941,0.893177774754852,113,79.4,3.6,5.76,17723.4,15205.4,14891.7,12757.8,14182,11534.3,31932.7,32170.5,30101.7,21492.6,22434.6,24072.6,"High","High","High","High","High","High"
"Ag00001aa122153_T002",TRUE,"Master Protein","Ag00001aa122153_T002",67,29,430,628,NA,0.609,0.0374112346708534,0.149952050949406,174.1,106,20.62,24.01,85.1,61.7,96.7,55.4,63.8,29.8,153.3,130.5,195.5,93.3,100.9,62.2,"High","High","High","High","High","High"
"Ag00001aa081313_T003",TRUE,"Master Protein","Ag00001aa081313_T003",62,38,623,765,NA,0.942,0.999968289053818,1,56.7,53.4,7.5,13.64,227.2,200.4,181.2,228.9,215.9,214.6,409.4,424,366.3,385.6,341.5,447.9,"High","High","High","High","High","High"
"Ag00001aa016177_T002",TRUE,"Master Protein","Ag00001aa016177_T002",71,31,436,648,NA,1.698,0.0788995018518441,0.256288978759956,57.5,97.7,8.38,3.63,3041.7,2207.6,2414.8,4920.1,4925.3,3984.8,5480.3,4670.7,4881.2,8288.7,7791.4,8316.5,"High","High","High","High","High","High"
"Ag00001aa127002_T002",TRUE,"Master Protein","Ag00001aa127002_T002",69,24,431,445,NA,1.047,0.920526120767352,1,123.6,129.5,3.81,3.66,9179.9,7677.2,7601.3,10436.7,10753.1,7829.7,16539.7,16242.9,15365.1,17582.4,17010.4,16341,"High","High","High","High","High","High"
"Ag00001aa038464_T002",TRUE,"Master Protein","Ag00001aa038464_T002",67,30,431,648,NA,0.948,0.740378902533137,1,30.1,28.6,0.6,8.95,61.2,51.5,54.3,62.8,65.8,42.9,110.3,109,109.8,105.8,104.1,89.5,"High","High","High","High","High","High"
"Ag00001aa128941_T002",TRUE,"Master Protein","Ag00001aa128941_T002",69,24,398,445,NA,0.898,0.957824762845779,1,89.8,80.7,5.48,15.38,399.4,312.6,321.9,441.8,375.4,269.2,719.6,661.4,650.7,744.3,593.8,561.8,"High","High","High","High","High","High"
"Ag00001aa073318_T002",TRUE,"Master Protein","Ag00001aa073318_T002",78,28,539,446,"Met-loss [N-Term]",1.771,0.00120419282975015,0.0127683008407138,75.1,133,9.64,7.03,10790.9,8719.3,7948.6,20138.2,20651.3,14158.7,19442.2,18447.7,16067.1,33926.2,32668.4,29549.9,"High","High","High","High","High","High"
"Ag00001aa047169_T001",TRUE,"Master Protein","Ag00001aa047169_T001",66,30,420,648,NA,0.83,0.999834427477683,1,52.4,43.5,23.84,5.7,27.6,15.1,25,24.5,25,21.2,49.7,31.9,50.5,41.3,39.5,44.2,"High","High","High","High","High","High"
"Ag00001aa068456_T001",TRUE,"Master Protein","Ag00001aa068456_T001",62,23,464,558,NA,0.833,0.117867618452508,0.346602024463634,123.8,103.2,13.02,1.91,11955.7,12879.6,11060.6,10884,11775.6,9124.8,21540.9,27249.7,22357.6,18335.9,18627.9,19043.9,"High","High","High","High","High","High"
