protein_id,go_id,Term,PPV
Ag00001aa005889_T001,GO:0006002,fructose 6-phosphate metabolic process,0.748154026219
Ag00001aa009144_T001,GO:0006096,glycolytic process,0.703680961869
Ag00001aa009579_T001,GO:0006457,protein folding,0.612947948515
Ag00001aa009716_T001,GO:0009408,response to heat,0.726088960718
Ag00001aa009888_T001,GO:0006457,protein folding,0.676287479919
Ag00001aa012894_T001,GO:0050832,defense response to fungus,0.798757740756
Ag00001aa014453_T001,GO:0006457,protein folding,0.577105383792
Ag00001aa015171_T001,GO:0009631,cold acclimation,0.851335650393
Ag00001aa017895_T001,GO:0009409,response to cold,0.537982518607
Ag00001aa018455_T003,GO:0005982,starch metabolic process,0.353075250464
Ag00001aa019017_T001,GO:0006457,protein folding,0.676287466065
Ag00001aa019394_T001,GO:0006457,protein folding,0.676287950591
Ag00001aa022279_T001,GO:0006457,protein folding,0.676287961717
Ag00001aa022644_T002,GO:0006096,glycolytic process,0.703665609544
Ag00001aa028565_T001,GO:0009737,response to abscisic acid,0.807268719963
Ag00001aa029945_T001,GO:0006006,glucose metabolic process,0.70693343105
Ag00001aa041516_T001,GO:0009737,response to abscisic acid,0.807307512259
Ag00001aa044676_T001,GO:0050832,defense response to fungus,0.559327355948
Ag00001aa047169_T001,GO:0006457,protein folding,0.676287942701
Ag00001aa047794_T002,GO:0006090,pyruvate metabolic process,0.66492867069
Ag00001aa052871_T001,GO:0006457,protein folding,0.67602899037
Ag00001aa053088_T001,GO:0006002,fructose 6-phosphate metabolic process,0.752079383116
Ag00001aa055541_T001,GO:0006457,protein folding,0.67628459421
Ag00001aa055898_T001,GO:0009631,cold acclimation,0.80898370162
Ag00001aa064944_T001,GO:0009631,cold acclimation,0.449147515482
Ag00001aa065968_T001,GO:0000162,tryptophan biosynthetic process,0.729087880106
Ag00001aa067474_T001,GO:0009409,response to cold,0.498707760923
Ag00001aa078823_T001,GO:0006457,protein folding,0.556172254577
Ag00001aa088228_T002,GO:0019252,starch biosynthetic process,0.830589543698
Ag00001aa092812_T001,GO:0000272,polysaccharide catabolic process,0.66189182548
Ag00001aa096557_T001,GO:0006749,glutathione metabolic process,0.730637283447
Ag00001aa097918_T001,GO:0006457,protein folding,0.606852305724
Ag00001aa097924_T001,GO:0006457,protein folding,0.535630812239
Ag00001aa100594_T001,GO:0009408,response to heat,0.725993030941
Ag00001aa102742_T001,GO:0009408,response to heat,0.726089967443
Ag00001aa104120_T004,GO:0006090,pyruvate metabolic process,0.692519853316
Ag00001aa110604_T001,GO:0009409,response to cold,0.497848551068
Ag00001aa111933_T001,GO:0009631,cold acclimation,0.645392507067
Ag00001aa118595_T001,GO:0006457,protein folding,0.51433775839
Ag00001aa120445_T001,GO:0050832,defense response to fungus,0.59006295311
Ag00001aa121107_T001,GO:0009737,response to abscisic acid,0.807381594606
Ag00001aa123995_T001,GO:0006457,protein folding,0.676032802847
Ag00001aa124402_T001,GO:0000272,polysaccharide catabolic process,0.705267852507
Ag00001aa135121_T001,GO:0006749,glutathione metabolic process,0.730632183157
Ag00001aa141013_T001,GO:0006090,pyruvate metabolic process,0.665183571088
Ag00001aa143736_T001,GO:0006457,protein folding,0.556299701565
Ag00001aa156538_T001,GO:0006457,protein folding,0.676287770305
Misin01G106600.1.v7.1,GO:0006457,protein folding,0.676287622886
Misin01G316300.1.v7.1,GO:0034605,cellular response to heat,0.748767964181
Misin01G469600.1.v7.1,GO:0009414,response to water deprivation,0.825515376641
Misin01G486600.1.v7.1,GO:0005982,starch metabolic process,0.353206124425
Misin01G502300.1.v7.1,GO:0000162,tryptophan biosynthetic process,0.730867267788
Misin02G173100.1.v7.1,GO:0009737,response to abscisic acid,0.806433236637
Misin02G401700.1.v7.1,GO:0000162,tryptophan biosynthetic process,0.730943387388
Misin03G046400.1.v7.1,GO:0000162,tryptophan biosynthetic process,0.730942287221
Misin05G173500.1.v7.1,GO:0009409,response to cold,0.529251435233
Misin07G367300.1.v7.1,GO:0006749,glutathione metabolic process,0.701402353243
Misin07G513900.1.v7.1,GO:0006457,protein folding,0.675722528005
Misin11G171000.1.v7.1,GO:0009414,response to water deprivation,0.454737113174
Misin18G152900.1.v7.1,GO:0009631,cold acclimation,0.571480240811
Misin18G170000.1.v7.1,GO:0006749,glutathione metabolic process,0.730641033042
Misin18G197900.1.v7.1,GO:0000162,tryptophan biosynthetic process,0.730944230079
MisinT036500.1.v7.1,GO:0000162,tryptophan biosynthetic process,0.730944024272
MisinT206400.1.v7.1,GO:0009414,response to water deprivation,0.597772982904
PvWBCH1.1KG060800.1.v1.1,GO:0034605,cellular response to heat,0.744665487095
PvWBCH1.1KG077700.1.v1.1,GO:0009408,response to heat,0.72598800882
PvWBCH1.1KG182300.1.v1.1,GO:0009631,cold acclimation,0.822119748466
PvWBCH1.1KG197100.2.v1.1,GO:0006749,glutathione metabolic process,0.699634110953
PvWBCH1.1KG339700.1.v1.1,GO:0006457,protein folding,0.636399332357
PvWBCH1.1NG251700.1.v1.1,GO:0009631,cold acclimation,0.822329467399
PvWBCH1.1NG326900.1.v1.1,GO:0006457,protein folding,0.651008706802
PvWBCH1.2NG099400.2.v1.1,GO:0019252,starch biosynthetic process,0.830589605274
PvWBCH1.3KG054000.1.v1.1,GO:0006749,glutathione metabolic process,0.681283223468
PvWBCH1.3KG150300.3.v1.1,GO:0019252,starch biosynthetic process,0.830589326011
PvWBCH1.3KG190900.1.v1.1,GO:0034605,cellular response to heat,0.675115888952
PvWBCH1.3NG049700.1.v1.1,GO:0006749,glutathione metabolic process,0.687293274825
PvWBCH1.3NG084400.1.v1.1,GO:0006397,mRNA processing,0.428786795382
PvWBCH1.3NG101500.1.v1.1,GO:0042542,response to hydrogen peroxide,0.34856202436
PvWBCH1.3NG170900.1.v1.1,GO:0009631,cold acclimation,0.416411886776
PvWBCH1.3NG181100.1.v1.1,GO:0006002,fructose 6-phosphate metabolic process,0.76001737375
PvWBCH1.4KG012300.1.v1.1,GO:0006397,mRNA processing,0.591938317553
PvWBCH1.4KG117700.1.v1.1,GO:0009414,response to water deprivation,0.568718119847
PvWBCH1.4KG144600.1.v1.1,GO:0009631,cold acclimation,0.53495531017
PvWBCH1.4KG237100.3.v1.1,GO:0006096,glycolytic process,0.705608046968
PvWBCH1.4KG245900.1.v1.1,GO:0010608,post-transcriptional regulation of gene ...,0.668704413856
PvWBCH1.4KG275100.1.v1.1,GO:0005982,starch metabolic process,0.806807521272
PvWBCH1.4NG080700.1.v1.1,GO:0019252,starch biosynthetic process,0.830589482177
PvWBCH1.4NG206200.1.v1.1,GO:0006096,glycolytic process,0.705608039397
PvWBCH1.5KG046700.1.v1.1,GO:0009414,response to water deprivation,0.593133749592
PvWBCH1.5KG263500.1.v1.1,GO:0006032,chitin catabolic process,0.39764219158
PvWBCH1.5KG266500.1.v1.1,GO:0006749,glutathione metabolic process,0.730611740609
PvWBCH1.5KG299900.1.v1.1,GO:0006090,pyruvate metabolic process,0.665830302144
PvWBCH1.5KG363600.1.v1.1,GO:0006457,protein folding,0.67628798985
PvWBCH1.5NG174900.1.v1.1,GO:0006397,mRNA processing,0.342226374245
PvWBCH1.5NG286600.1.v1.1,GO:0006090,pyruvate metabolic process,0.663689954634
PvWBCH1.5NG350300.1.v1.1,GO:0006457,protein folding,0.676287941444
PvWBCH1.6KG070500.2.v1.1,GO:0001101,response to acid chemical,0.351855191041
PvWBCH1.6KG070600.1.v1.1,GO:0001101,response to acid chemical,0.350856576404
PvWBCH1.7KG090500.2.v1.1,GO:0005982,starch metabolic process,0.821329675098
PvWBCH1.7KG134800.1.v1.1,GO:0006002,fructose 6-phosphate metabolic process,0.750929556865
PvWBCH1.7KG230700.1.v1.1,GO:0006397,mRNA processing,0.450590116317
PvWBCH1.7NG099500.1.v1.1,GO:0005982,starch metabolic process,0.821549990366
PvWBCH1.7NG293600.1.v1.1,GO:0050832,defense response to fungus,0.516424822731
PvWBCH1.8KG070500.1.v1.1,GO:0006457,protein folding,0.676216131776
PvWBCH1.8KG089500.1.v1.1,GO:0050832,defense response to fungus,0.539690505926
PvWBCH1.8NG151200.1.v1.1,GO:0005982,starch metabolic process,0.823913810702
PvWBCH1.9KG056000.1.v1.1,GO:0006749,glutathione metabolic process,0.729341048888
PvWBCH1.9KG185700.1.v1.1,GO:0009737,response to abscisic acid,0.807315074072
PvWBCH1.9KG319800.1.v1.1,GO:0006749,glutathione metabolic process,0.730641966943
PvWBCH1.9KG321100.1.v1.1,GO:0006749,glutathione metabolic process,0.730642943405
PvWBCH1.9KG321200.1.v1.1,GO:0006749,glutathione metabolic process,0.730642393781
PvWBCH1.9KG328200.1.v1.1,GO:0006090,pyruvate metabolic process,0.692519729681
PvWBCH1.9KG375900.1.v1.1,GO:0005982,starch metabolic process,0.53559258229
PvWBCH1.9KG381100.1.v1.1,GO:0006096,glycolytic process,0.703668904063
PvWBCH1.9KG512900.1.v1.1,GO:0000272,polysaccharide catabolic process,0.662932913638
PvWBCH1.9KG533800.1.v1.1,GO:0000272,polysaccharide catabolic process,0.514179986998
