tmt_batch,Checked,Protein_FDR_Confidence_Combined,Master,protein_id,Description,Exp_q_value_Combined,Sum_PEP_Score,Coverage,Peptides,PSMs,Unique_Peptides,AAs,MW_kDa,calc_pI,Score_Sequest_HT_Sequest_HT,Peptides_by_Search_Engine_Sequest_HT,Razor_Peptides,Abundance_Ratio_Winter_Summer,Abundance_Ratio_Summer_Winter,pval,Abundances_Grouped_Summer,Abundances_Grouped_Winter,Abundances_Grouped_CV_Summer,Abundances_Grouped_CV_Winter,Abundance_C002-1_Summer,Abundance_C002-2_Summer,Abundance_C002-3_Summer,Abundance_C004-1_Summer,Abundance_C004-2_Summer,Abundance_C004-3_Summer,Abundance_C002-1_Winter,Abundance_C002-2_Winter,Abundance_C002-3_Winter,Abundance_C004-1_Winter,Abundance_C004-2_Winter,Abundance_C004-3_Winter,Abundances_Normalized_C002-1_Summer,Abundances_Normalized_C002-2_Summer,Abundances_Normalized_C002-3_Summer,Abundances_Normalized_C004-1_Summer,Abundances_Normalized_C004-2_Summer,Abundances_Normalized_C004-3_Summer,Abundances_Normalized_C002-1_Winter,Abundances_Normalized_C002-2_Winter,Abundances_Normalized_C002-3_Winter,Abundances_Normalized_C004-1_Winter,Abundances_Normalized_C004-2_Winter,Abundances_Normalized_C004-3_Winter,Found_in_S55_C002-1_Summer,Found_in_S56_C002-2_Summer,Found_in_S57_C002-3_Summer,Found_in_S58_C004-1_Summer,Found_in_S59_C004-2_Summer,Found_in_S60_C004-3_Summer,Found_in_S67_C002-1_Winter,Found_in_S68_C002-2_Winter,Found_in_S69_C002-3_Winter,Found_in_S70_C004-1_Winter,Found_in_S71_C004-2_Winter,Found_in_S72_C004-3_Winter,Protein_Groups,Modifications,Abundance_C027-1_Summer,Abundance_C027-2_Summer,Abundance_C027-3_Summer,Abundance_C043-1_Summer,Abundance_C043-2_Summer,Abundance_C043-3_Summer,Abundance_C027-1_Winter,Abundance_C027-2_Winter,Abundance_C027-3_Winter,Abundance_C043-1_Winter,Abundance_C043-2_Winter,Abundance_C043-3_Winter,Abundances_Normalized_C027-1_Summer,Abundances_Normalized_C027-2_Summer,Abundances_Normalized_C027-3_Summer,Abundances_Normalized_C043-1_Summer,Abundances_Normalized_C043-2_Summer,Abundances_Normalized_C043-3_Summer,Abundances_Normalized_C027-1_Winter,Abundances_Normalized_C027-2_Winter,Abundances_Normalized_C027-3_Winter,Abundances_Normalized_C043-1_Winter,Abundances_Normalized_C043-2_Winter,Abundances_Normalized_C043-3_Winter,Found_in_S73_C027-1_Summer,Found_in_S74_C027-2_Summer,Found_in_S75_C027-3_Summer,Found_in_S76_C043-1_Summer,Found_in_S77_C043-2_Summer,Found_in_S78_C043-3_Summer,Found_in_S85_C027-1_Winter,Found_in_S86_C027-2_Winter,Found_in_S87_C027-3_Winter,Found_in_S88_C043-1_Winter,Found_in_S89_C043-2_Winter,Found_in_S90_C043-3_Winter,Abundance_C065-1_Summer,Abundance_C065-2_Summer,Abundance_C065-3_Summer,Abundance_C071-1_Summer,Abundance_C071-2_Summer,Abundance_C071-3_Summer,Abundance_C065-1_Winter,Abundance_C065-2_Winter,Abundance_C065-3_Winter,Abundance_C071-1_Winter,Abundance_C071-2_Winter,Abundance_C071-3_Winter,Abundances_Normalized_C065-1_Summer,Abundances_Normalized_C065-2_Summer,Abundances_Normalized_C065-3_Summer,Abundances_Normalized_C071-1_Summer,Abundances_Normalized_C071-2_Summer,Abundances_Normalized_C071-3_Summer,Abundances_Normalized_C065-1_Winter,Abundances_Normalized_C065-2_Winter,Abundances_Normalized_C065-3_Winter,Abundances_Normalized_C071-1_Winter,Abundances_Normalized_C071-2_Winter,Abundances_Normalized_C071-3_Winter,Found_in_S1_C065-1_Summer,Found_in_S2_C065-2_Summer,Found_in_S3_C065-3_Summer,Found_in_S4_C071-1_Summer,Found_in_S5_C071-2_Summer,Found_in_S6_C071-3_Summer,Found_in_S13_C065-1_Winter,Found_in_S14_C065-2_Winter,Found_in_S15_C065-3_Winter,Found_in_S16_C071-1_Winter,Found_in_S17_C071-2_Winter,Found_in_S18_C071-3_Winter,Abundance_C022-1_Summer,Abundance_C022-2_Summer,Abundance_C022-3_Summer,Abundance_C076-1_Summer,Abundance_C076-2_Summer,Abundance_C076-3_Summer,Abundance_C022-1_Winter,Abundance_C022-2_Winter,Abundance_C022-3_Winter,Abundance_C076-1_Winter,Abundance_C076-2_Winter,Abundance_C076-3_Winter,Abundances_Normalized_C022-1_Summer,Abundances_Normalized_C022-2_Summer,Abundances_Normalized_C022-3_Summer,Abundances_Normalized_C076-1_Summer,Abundances_Normalized_C076-2_Summer,Abundances_Normalized_C076-3_Summer,Abundances_Normalized_C022-1_Winter,Abundances_Normalized_C022-2_Winter,Abundances_Normalized_C022-3_Winter,Abundances_Normalized_C076-1_Winter,Abundances_Normalized_C076-2_Winter,Abundances_Normalized_C076-3_Winter,Found_in_S19_C022-1_Summer,Found_in_S20_C022-2_Summer,Found_in_S21_C022-3_Summer,Found_in_S22_C076-1_Summer,Found_in_S23_C076-2_Summer,Found_in_S24_C076-3_Summer,Found_in_S31_C022-1_Winter,Found_in_S32_C022-2_Winter,Found_in_S33_C022-3_Winter,Found_in_S34_C076-1_Winter,Found_in_S35_C076-2_Winter,Found_in_S36_C076-3_Winter
1,TRUE,High,Master Protein,Td00001aa011766_T001,Td00001aa011766_T001,0,503.095,69,47,1042,26,766,84.5,5.86,3864.29,47,30,1.0729613733905579,0.932,0.247537190750747,96.4,103.4,7.91,23.01,7014.9,6971.7,8616.1,9015.4,15468.4,17377.7,13403.7,8599.1,5072.1,7268.2,6289.5,10393.5,14703.7,16097.3,14651.9,17051,17416.4,17377.7,18278,15798.2,18350.5,16765.6,17270.3,27763.5,High,High,High,High,High,High,High,High,High,High,High,High,1,Met-loss+Acetyl [N-Term],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa006196_T003,Td00001aa006196_T003,0,496.88,77,47,598,3,649,71.1,5.25,2079.66,47,52,1.017293997965412,0.983,0.542758351843222,100.1,101.8,4.26,4.23,5487.1,4836.8,6309.8,5467.8,9212.6,11068.8,8159.2,6217.5,3049.5,5271.4,3943.5,4134.6,11501.4,11168,10730,10341.3,10372.8,11068.8,11126.3,11422.8,11032.9,12159.6,10828.4,11044.5,High,High,High,High,High,High,High,High,High,High,High,High,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa007992_T002,Td00001aa007992_T002,0,488.884,67,63,556,51,873,97.8,6.48,1785.92,63,15,1.824817518248175,0.548,0.0420006825030252,94.2,171.9,23.79,37.34,5633,2579,6438,3921.2,8512.2,10137.2,13903.2,11309.6,2079.3,7399.3,3651.5,8390.1,11807.2,5954.8,10948,7416.2,9584.2,10137.2,18959.2,20778,7522.8,17068,10026.6,22412,High,High,High,High,High,High,High,High,High,High,High,High,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa011576_T001,Td00001aa011576_T001,0,479.991,77,47,583,2,649,71,5.25,2002.97,47,1,0.9216589861751152,1.085,0.97936612203694,110,101.4,33.88,34.16,40.6,43.6,39.4,78.2,151.2,138.3,61.5,42.7,20.5,61.1,58.8,53.1,85.1,100.7,67,147.9,170.2,138.3,83.9,78.4,74.2,140.9,161.5,141.8,High,High,High,High,High,High,High,High,High,High,High,High,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa023036_T001,Td00001aa023036_T001,0,471.622,72,44,528,8,649,70.9,5.25,1827.49,44,12,1.0438413361169103,0.958,0.980059881066779,101.5,105.9,13.34,10.15,1062.1,758.2,1127.9,887.2,1431.2,2137.4,1560,1082.1,586.2,798.4,636.9,622.7,2226.2,1750.7,1918,1678,1611.4,2137.4,2127.3,1988,2120.8,1841.7,1748.9,1663.4,High,High,High,High,High,High,High,High,High,High,High,High,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa008295_T001,Td00001aa008295_T001,0,436.504,76,44,522,6,648,70.9,5.21,1747.16,44,0,1.1574074074074074,0.864,0.877136594675994,97.9,113.3,30.87,19.13,191.8,102.7,158.3,115.2,221.2,437.4,224.4,194.5,81.2,183.5,98.2,98.8,402,237.1,269.2,217.9,249.1,437.4,306,357.3,293.8,423.3,269.6,263.9,High,High,High,High,High,High,High,High,High,High,High,High,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa010844_T002,Td00001aa010844_T002,0,413.562,75,44,534,8,648,71.1,5.25,1762.93,44,6,1.7006802721088436,0.588,0.00119511989500543,78.3,133.2,19.96,6.9,649,443.1,614.9,503.1,872.2,1499.3,1209.7,1029.1,486.1,854.9,641.4,630.3,1360.4,1023.1,1045.7,951.5,982,1499.3,1649.6,1890.7,1758.7,1972,1761.2,1683.7,High,High,High,High,High,High,High,High,High,High,High,High,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa020472_T001,Td00001aa020472_T001,0,402.253,53,65,237,2,1710,193.5,5.39,859.02,65,53,0.8424599831508003,1.187,0.14380967141378,101.6,85.5,21.04,18.68,2900,3103.8,3341.2,5277,6592.9,6850.7,4826.8,2480.6,1774,2015.8,1976.6,2682.9,6078.6,7166.5,5681.8,9980.5,7423.2,6850.7,6582.1,4557.4,6418.2,4649.9,5427.5,7166.7,High,High,High,High,High,High,High,High,High,High,High,High,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa039962_T002,Td00001aa039962_T002,0,385.468,51,63,225,1,1734,196.2,5.43,815.71,63,0,0.8396305625524769,1.191,0.0712736322758579,100.2,84.1,9.89,17.29,27.7,26.3,31.2,34.4,44.3,53.6,39.2,21.9,14.6,18,13.3,20.6,58.1,60.7,53.1,65.1,49.9,53.6,53.5,40.2,52.8,41.5,36.5,55,High,High,High,High,High,High,High,High,High,High,High,High,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TRUE,High,Master Protein,Td00001aa037423_T002,Td00001aa037423_T002,0,382.749,79,32,747,12,445,47.9,5.25,2915.22,32,26,1.1160714285714286,0.896,0.135002168174133,91.8,102.4,5.05,9.35,6257.2,6046,7719.1,7151.1,12182.4,12061.6,11105,8730.7,4587.2,5782.3,5313.7,4943.7,13115.5,13959.9,13126.5,13525,13716.6,12061.6,15143.4,16040,16596.2,13338.1,14590.8,13205.8,High,High,High,High,High,High,High,High,High,High,High,High,1,Met-loss [N-Term],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
